month,channel,campaign,search_term,impressions,clicks,spend,attributed_revenue,orders
2025-09-01,Shopify,Brand Search Always-On,fhi,30119,305,181.81,3987.77,41
2025-09-01,Shopify,Brand Search Always-On,fhi flat iron,4333,116,118.66,552.69,5
2025-09-01,Shopify,Brand Search Always-On,fhi hair dryer,5530,124,151.99,671.26,5
2025-09-01,Shopify,Brand Search Always-On,fhi reviews,7400,86,82.89,230.29,4
2025-09-01,Shopify,Brand Search Always-On,unbrush dupe,1520,35,61.95,0,0
2025-09-01,Shopify,Brand Search Always-On,is unbrush legit,25363,331,191.48,0,0
2025-09-01,Shopify,Brand Search Always-On,fhi dupe,3358,112,159.78,0,0
2025-09-01,Shopify,Brand Search Always-On,is fhi legit,3142,81,75.61,0,0
2025-10-01,Shopify,Brand Search Always-On,unbrush,1827,29,28.38,277.63,2
2025-10-01,Shopify,Brand Search Always-On,unbrush flat iron,4488,129,155.8,794.81,10
2025-10-01,Shopify,Brand Search Always-On,unbrush hair dryer,2304,55,57.71,538.01,5
2025-10-01,Shopify,Brand Search Always-On,unbrush reviews,7519,101,97.68,318.83,3
2025-10-01,Shopify,Brand Search Always-On,fhi,26564,269,159.88,3291.82,31
2025-10-01,Shopify,Brand Search Always-On,fhi flat iron,3810,102,104.35,811.79,6
2025-10-01,Shopify,Brand Search Always-On,fhi hair dryer,4861,109,133.65,630.96,4
2025-10-01,Shopify,Brand Search Always-On,fhi reviews,6539,76,72.89,306.39,5
2025-10-01,Shopify,Brand Search Always-On,unbrush dupe,1303,30,54.48,0,0
2025-10-01,Shopify,Brand Search Always-On,is unbrush legit,22298,291,168.38,0,0
2025-10-01,Shopify,Brand Search Always-On,fhi dupe,2969,99,140.5,0,0
2025-10-01,Shopify,Brand Search Always-On,is fhi legit,2754,71,66.49,0,0
2025-11-01,Shopify,Brand Search Always-On,unbrush,1764,28,26.71,222.58,2
2025-11-01,Shopify,Brand Search Always-On,unbrush flat iron,4210,121,146.63,532.43,7
2025-11-01,Shopify,Brand Search Always-On,unbrush hair dryer,2178,52,54.31,448.02,4
2025-11-01,Shopify,Brand Search Always-On,unbrush reviews,7072,95,91.94,308.32,3
2025-11-01,Shopify,Brand Search Always-On,fhi,24984,253,150.48,2516.1,25
2025-11-01,Shopify,Brand Search Always-On,fhi flat iron,3586,96,98.21,690.99,5
2025-11-01,Shopify,Brand Search Always-On,fhi hair dryer,4549,102,125.79,553.62,4
2025-11-01,Shopify,Brand Search Always-On,fhi reviews,6195,72,68.6,256.28,5
2025-11-01,Shopify,Brand Search Always-On,unbrush dupe,1260,29,51.27,0,0
2025-11-01,Shopify,Brand Search Always-On,is unbrush legit,20995,274,158.48,0,0
2025-11-01,Shopify,Brand Search Always-On,fhi dupe,2789,93,132.24,0,0
2025-11-01,Shopify,Brand Search Always-On,is fhi legit,2599,67,62.58,0,0
2025-12-01,Shopify,Brand Search Always-On,unbrush,1701,27,26.16,352.07,3
2025-12-01,Shopify,Brand Search Always-On,unbrush flat iron,4106,118,143.62,463.07,6
2025-12-01,Shopify,Brand Search Always-On,unbrush hair dryer,2136,51,53.2,429.17,4
2025-12-01,Shopify,Brand Search Always-On,unbrush reviews,6923,93,90.05,296.28,3
2025-12-01,Shopify,Brand Search Always-On,fhi,24490,248,147.38,2721.64,23
2025-12-01,Shopify,Brand Search Always-On,fhi flat iron,3511,94,96.19,807.24,6
2025-12-01,Shopify,Brand Search Always-On,fhi hair dryer,4460,100,123.2,766.54,6
2025-12-01,Shopify,Brand Search Always-On,fhi reviews,6023,70,67.19,319.44,5
2025-12-01,Shopify,Brand Search Always-On,unbrush dupe,1216,28,50.22,0,0
2025-12-01,Shopify,Brand Search Always-On,is unbrush legit,20536,268,155.22,0,0
2025-12-01,Shopify,Brand Search Always-On,fhi dupe,2729,91,129.52,0,0
2025-12-01,Shopify,Brand Search Always-On,is fhi legit,2521,65,61.29,0,0
2026-01-01,Shopify,Brand Search Always-On,unbrush,2016,32,31.33,388.48,3
2026-01-01,Shopify,Brand Search Always-On,unbrush flat iron,4941,142,172.02,539.24,8
2026-01-01,Shopify,Brand Search Always-On,unbrush hair dryer,2555,61,63.72,737.55,6
2026-01-01,Shopify,Brand Search Always-On,unbrush reviews,8338,112,107.85,604.76,6
2026-01-01,Shopify,Brand Search Always-On,fhi,29329,297,176.53,3734.02,39
2026-01-01,Shopify,Brand Search Always-On,fhi flat iron,4221,113,115.21,556.1,5
2026-01-01,Shopify,Brand Search Always-On,fhi hair dryer,5352,120,147.57,816.04,6
2026-01-01,Shopify,Brand Search Always-On,fhi reviews,7228,84,80.48,312.88,6
2026-01-01,Shopify,Brand Search Always-On,unbrush dupe,1477,34,60.15,0,0
2026-01-01,Shopify,Brand Search Always-On,is unbrush legit,24597,321,185.91,0,0
2026-01-01,Shopify,Brand Search Always-On,fhi dupe,3268,109,155.13,0,0
2026-01-01,Shopify,Brand Search Always-On,is fhi legit,3025,78,73.41,0,0
2026-02-01,Shopify,Brand Search Always-On,unbrush,1449,23,22.53,230.93,2
2026-02-01,Shopify,Brand Search Always-On,unbrush flat iron,3549,102,123.69,375.1,5
2026-02-01,Shopify,Brand Search Always-On,unbrush hair dryer,1843,44,45.81,526.19,4
2026-02-01,Shopify,Brand Search Always-On,unbrush reviews,5955,80,77.55,460.63,4
2026-02-01,Shopify,Brand Search Always-On,fhi,21034,213,126.93,2474.99,21
2026-02-01,Shopify,Brand Search Always-On,fhi flat iron,3025,81,82.84,643.99,5
2026-02-01,Shopify,Brand Search Always-On,fhi hair dryer,3836,86,106.11,451.39,3
2026-02-01,Shopify,Brand Search Always-On,fhi reviews,5163,60,57.87,191.38,3
2026-02-01,Shopify,Brand Search Always-On,unbrush dupe,1043,24,43.25,0,0
2026-02-01,Shopify,Brand Search Always-On,is unbrush legit,17701,231,133.68,0,0
2026-02-01,Shopify,Brand Search Always-On,fhi dupe,2339,78,111.55,0,0
2026-02-01,Shopify,Brand Search Always-On,is fhi legit,2172,56,52.79,0,0
2026-03-01,Shopify,Brand Search Always-On,unbrush,1764,28,26.86,237.55,2
2026-03-01,Shopify,Brand Search Always-On,unbrush flat iron,4245,122,147.5,639.84,8
2026-03-01,Shopify,Brand Search Always-On,unbrush hair dryer,2178,52,54.63,561.33,5
2026-03-01,Shopify,Brand Search Always-On,unbrush reviews,7146,96,92.48,377.78,4
2026-03-01,Shopify,Brand Search Always-On,fhi,25082,254,151.36,2530.66,28
2026-03-01,Shopify,Brand Search Always-On,fhi flat iron,3623,97,98.79,435.45,4
2026-03-01,Shopify,Brand Search Always-On,fhi hair dryer,4594,103,126.53,652.56,4
2026-03-01,Shopify,Brand Search Always-On,fhi reviews,6195,72,69.01,158.16,3
2026-03-01,Shopify,Brand Search Always-On,unbrush dupe,1260,29,51.58,0,0
2026-03-01,Shopify,Brand Search Always-On,is unbrush legit,21072,275,159.41,0,0
2026-03-01,Shopify,Brand Search Always-On,fhi dupe,2789,93,133.02,0,0
2026-03-01,Shopify,Brand Search Always-On,is fhi legit,2599,67,62.95,0,0
2026-04-01,Shopify,Brand Search Always-On,unbrush,1827,29,27.59,359.91,3
2026-04-01,Shopify,Brand Search Always-On,unbrush flat iron,4349,125,151.46,456.78,7
2026-04-01,Shopify,Brand Search Always-On,unbrush hair dryer,2220,53,56.1,318.68,3
2026-04-01,Shopify,Brand Search Always-On,unbrush reviews,7295,98,94.96,509.52,5
2026-04-01,Shopify,Brand Search Always-On,fhi,25774,261,155.43,3020.08,25
2026-04-01,Shopify,Brand Search Always-On,fhi flat iron,3698,99,101.44,776.7,6
2026-04-01,Shopify,Brand Search Always-On,fhi hair dryer,4728,106,129.93,722.29,5
2026-04-01,Shopify,Brand Search Always-On,fhi reviews,6367,74,70.86,268.44,4
2026-04-01,Shopify,Brand Search Always-On,unbrush dupe,1303,30,52.96,0,0
2026-04-01,Shopify,Brand Search Always-On,is unbrush legit,21685,283,163.69,0,0
2026-04-01,Shopify,Brand Search Always-On,fhi dupe,2879,96,136.59,0,0
2026-04-01,Shopify,Brand Search Always-On,is fhi legit,2676,69,64.64,0,0
2026-05-01,Shopify,Brand Search Always-On,unbrush,1764,28,27.45,222.48,2
2026-05-01,Shopify,Brand Search Always-On,unbrush flat iron,4314,124,150.69,466.23,6
2026-05-01,Shopify,Brand Search Always-On,unbrush hair dryer,2220,53,55.82,591.5,5
2026-05-01,Shopify,Brand Search Always-On,unbrush reviews,7295,98,94.48,370.81,4
2026-05-01,Shopify,Brand Search Always-On,fhi,25675,260,154.65,2853.73,26
2026-05-01,Shopify,Brand Search Always-On,fhi flat iron,3698,99,100.93,438.73,4
2026-05-01,Shopify,Brand Search Always-On,fhi hair dryer,4683,105,129.27,854.78,7
2026-05-01,Shopify,Brand Search Always-On,fhi reviews,6367,74,70.51,234.05,4
2026-05-01,Shopify,Brand Search Always-On,unbrush dupe,1260,29,52.69,0,0
2026-05-01,Shopify,Brand Search Always-On,is unbrush legit,21532,281,162.87,0,0
2026-05-01,Shopify,Brand Search Always-On,fhi dupe,2849,95,135.9,0,0
2026-05-01,Shopify,Brand Search Always-On,is fhi legit,2676,69,64.31,0,0
2026-06-01,Shopify,Brand Search Always-On,unbrush,1575,25,24.44,227.39,2
2026-06-01,Shopify,Brand Search Always-On,unbrush flat iron,3862,111,134.19,647.66,8
2026-06-01,Shopify,Brand Search Always-On,unbrush hair dryer,1968,47,49.7,615.82,5
2026-06-01,Shopify,Brand Search Always-On,unbrush reviews,6476,87,84.13,265.05,3
2026-06-01,Shopify,Brand Search Always-On,fhi,22811,231,137.71,3631.37,31
2026-06-01,Shopify,Brand Search Always-On,fhi flat iron,3287,88,89.88,567.19,5
2026-06-01,Shopify,Brand Search Always-On,fhi hair dryer,4192,94,115.12,420.6,3
2026-06-01,Shopify,Brand Search Always-On,fhi reviews,5679,66,62.78,298.22,5
2026-06-01,Shopify,Brand Search Always-On,unbrush dupe,1129,26,46.92,0,0
2026-06-01,Shopify,Brand Search Always-On,is unbrush legit,19233,251,145.03,0,0
2026-06-01,Shopify,Brand Search Always-On,fhi dupe,2549,85,121.02,0,0
2026-06-01,Shopify,Brand Search Always-On,is fhi legit,2366,61,57.27,0,0
2026-07-01,Shopify,Brand Search Always-On,unbrush,1512,24,23.61,391.9,3
2026-07-01,Shopify,Brand Search Always-On,unbrush flat iron,3723,107,129.62,473.59,7
2026-07-01,Shopify,Brand Search Always-On,unbrush hair dryer,1927,46,48.01,545.3,4
2026-07-01,Shopify,Brand Search Always-On,unbrush reviews,6253,84,81.27,344.14,4
2026-07-01,Shopify,Brand Search Always-On,fhi,22021,223,133.02,2346.27,23
2026-07-01,Shopify,Brand Search Always-On,fhi flat iron,3175,85,86.81,627.87,6
2026-07-01,Shopify,Brand Search Always-On,fhi hair dryer,4014,90,111.2,687.2,5
2026-07-01,Shopify,Brand Search Always-On,fhi reviews,5421,63,60.65,243.2,4
2026-07-01,Shopify,Brand Search Always-On,unbrush dupe,1086,25,45.32,0,0
2026-07-01,Shopify,Brand Search Always-On,is unbrush legit,18543,242,140.09,0,0
2026-07-01,Shopify,Brand Search Always-On,fhi dupe,2459,82,116.9,0,0
2026-07-01,Shopify,Brand Search Always-On,is fhi legit,2288,59,55.32,0,0
2025-07-01,Amazon,Sponsored Products,ionic hair dryer,1789,40,27.08,592.47,4
2025-07-01,Amazon,Sponsored Products,ceramic flat iron,212,6,11.18,155.03,1
2025-07-01,Amazon,Sponsored Products,detangling brush,510,16,32.44,60.58,1
2025-07-01,Amazon,Sponsored Products,blowout brush,1150,27,37.12,195.12,2
2025-07-01,Amazon,Sponsored Products,titanium flat iron,732,18,36.91,282.38,2
2025-07-01,Amazon,Sponsored Products,hair dryer brush,507,12,22.87,181.73,1
2025-07-01,Amazon,Sponsored Products,travel hair dryer,1880,14,26.16,134.51,1
2025-07-01,Amazon,Sponsored Products,professional flat iron,709,21,20.87,200.96,2
2025-07-01,Amazon,Sponsored Products,curling wand,1727,38,50.72,163.7,1
2025-07-01,Amazon,Sponsored Products,hair straightener brush,1302,14,21.52,147.03,1
2025-07-01,Amazon,Sponsored Products,salon blow dryer,622,7,13.91,0,0
2025-07-01,Amazon,Sponsored Products,fast dry hair dryer,854,16,13.25,61.55,1
2025-07-01,Amazon,Sponsored Products,diffuser attachment,777,11,21.56,0,0
2025-07-01,Amazon,Sponsored Products,mini flat iron,1616,48,31.69,108.37,2
2025-07-01,Amazon,Sponsored Products,cordless hair straightener,357,5,8.36,0,0
2025-07-01,Amazon,Sponsored Products,round brush blow dry,301,7,14.19,0,0
2025-07-01,Amazon,Sponsored Products,hair dryer for dogs,1784,13,26.58,0,0
2025-07-01,Amazon,Sponsored Products,wig steamer,882,24,26.67,0,0
2025-07-01,Amazon,Sponsored Products,paint drying gun,1729,12,10.29,0,0
2025-07-01,Amazon,Sponsored Products,industrial heat gun,193,6,11.75,0,0
2025-08-01,Amazon,Sponsored Products,ionic hair dryer,6173,138,93.47,2103.31,16
2025-08-01,Amazon,Sponsored Products,ceramic flat iron,778,22,38.57,430.18,3
2025-08-01,Amazon,Sponsored Products,detangling brush,1721,54,111.96,115.18,2
2025-08-01,Amazon,Sponsored Products,blowout brush,3960,93,128.12,681.12,8
2025-08-01,Amazon,Sponsored Products,titanium flat iron,2482,61,127.41,972.93,7
2025-08-01,Amazon,Sponsored Products,hair dryer brush,1775,42,78.93,503.51,3
2025-08-01,Amazon,Sponsored Products,travel hair dryer,6311,47,90.3,795.42,6
2025-08-01,Amazon,Sponsored Products,professional flat iron,2396,71,72.02,368.34,4
2025-08-01,Amazon,Sponsored Products,curling wand,5999,132,175.05,915.98,7
2025-08-01,Amazon,Sponsored Products,hair straightener brush,4371,47,74.27,324.81,2
2025-08-01,Amazon,Sponsored Products,salon blow dryer,2131,24,48.02,107.2,1
2025-08-01,Amazon,Sponsored Products,fast dry hair dryer,2936,55,45.72,527.66,7
2025-08-01,Amazon,Sponsored Products,diffuser attachment,2614,37,74.4,50.41,1
2025-08-01,Amazon,Sponsored Products,mini flat iron,5589,166,109.37,347,7
2025-08-01,Amazon,Sponsored Products,cordless hair straightener,1286,18,28.85,62.79,1
2025-08-01,Amazon,Sponsored Products,round brush blow dry,1074,25,48.96,184.32,2
2025-08-01,Amazon,Sponsored Products,hair dryer for dogs,6174,45,91.74,0,0
2025-08-01,Amazon,Sponsored Products,wig steamer,3014,82,92.06,0,0
2025-08-01,Amazon,Sponsored Products,paint drying gun,6051,42,35.52,0,0
2025-08-01,Amazon,Sponsored Products,industrial heat gun,644,20,40.54,0,0
2025-09-01,Amazon,Sponsored Products,ionic hair dryer,6621,148,100.6,1334.58,11
2025-09-01,Amazon,Sponsored Products,ceramic flat iron,848,24,41.51,420.57,3
2025-09-01,Amazon,Sponsored Products,detangling brush,1848,58,120.49,59.18,1
2025-09-01,Amazon,Sponsored Products,blowout brush,4258,100,137.88,728.6,8
2025-09-01,Amazon,Sponsored Products,titanium flat iron,2685,66,137.12,881.86,8
2025-09-01,Amazon,Sponsored Products,hair dryer brush,1944,46,84.95,312.78,2
2025-09-01,Amazon,Sponsored Products,travel hair dryer,6848,51,97.18,938.27,7
2025-09-01,Amazon,Sponsored Products,professional flat iron,2598,77,77.51,356.32,4
2025-09-01,Amazon,Sponsored Products,curling wand,6454,142,188.39,1268.29,9
2025-09-01,Amazon,Sponsored Products,hair straightener brush,4743,51,79.93,135.03,1
2025-09-01,Amazon,Sponsored Products,salon blow dryer,2220,25,51.68,208.29,2
2025-09-01,Amazon,Sponsored Products,fast dry hair dryer,3150,59,49.2,359.38,6
2025-09-01,Amazon,Sponsored Products,diffuser attachment,2826,40,80.07,45.33,1
2025-09-01,Amazon,Sponsored Products,mini flat iron,6026,179,117.7,437.91,7
2025-09-01,Amazon,Sponsored Products,cordless hair straightener,1429,20,31.05,50.52,1
2025-09-01,Amazon,Sponsored Products,round brush blow dry,1160,27,52.69,185.34,2
2025-09-01,Amazon,Sponsored Products,hair dryer for dogs,6586,48,98.73,0,0
2025-09-01,Amazon,Sponsored Products,wig steamer,3235,88,99.08,0,0
2025-09-01,Amazon,Sponsored Products,paint drying gun,6484,45,38.22,0,0
2025-09-01,Amazon,Sponsored Products,industrial heat gun,709,22,43.63,0,0
2025-10-01,Amazon,Sponsored Products,ionic hair dryer,6173,138,93.4,1478.12,11
2025-10-01,Amazon,Sponsored Products,ceramic flat iron,778,22,38.54,554.28,3
2025-10-01,Amazon,Sponsored Products,detangling brush,1721,54,111.87,123.54,2
2025-10-01,Amazon,Sponsored Products,blowout brush,3960,93,128.02,582.06,7
2025-10-01,Amazon,Sponsored Products,titanium flat iron,2482,61,127.31,812.8,6
2025-10-01,Amazon,Sponsored Products,hair dryer brush,1775,42,78.87,490.69,3
2025-10-01,Amazon,Sponsored Products,travel hair dryer,6311,47,90.23,814.41,6
2025-10-01,Amazon,Sponsored Products,professional flat iron,2396,71,71.97,425.85,4
2025-10-01,Amazon,Sponsored Products,curling wand,5999,132,174.91,1074.89,7
2025-10-01,Amazon,Sponsored Products,hair straightener brush,4371,47,74.22,292.59,2
2025-10-01,Amazon,Sponsored Products,salon blow dryer,2131,24,47.98,117.04,1
2025-10-01,Amazon,Sponsored Products,fast dry hair dryer,2936,55,45.68,548.02,7
2025-10-01,Amazon,Sponsored Products,diffuser attachment,2614,37,74.34,46.58,1
2025-10-01,Amazon,Sponsored Products,mini flat iron,5589,166,109.28,420.97,7
2025-10-01,Amazon,Sponsored Products,cordless hair straightener,1286,18,28.82,51.91,1
2025-10-01,Amazon,Sponsored Products,round brush blow dry,1074,25,48.93,101.84,1
2025-10-01,Amazon,Sponsored Products,hair dryer for dogs,6174,45,91.67,0,0
2025-10-01,Amazon,Sponsored Products,wig steamer,3014,82,91.99,0,0
2025-10-01,Amazon,Sponsored Products,paint drying gun,6051,42,35.49,0,0
2025-10-01,Amazon,Sponsored Products,industrial heat gun,644,20,40.51,0,0
2025-11-01,Amazon,Sponsored Products,ionic hair dryer,6084,136,92,1684.23,11
2025-11-01,Amazon,Sponsored Products,ceramic flat iron,778,22,37.96,345.52,2
2025-11-01,Amazon,Sponsored Products,detangling brush,1689,53,110.19,62.62,1
2025-11-01,Amazon,Sponsored Products,blowout brush,3875,91,126.1,703.82,7
2025-11-01,Amazon,Sponsored Products,titanium flat iron,2441,60,125.4,838.37,6
2025-11-01,Amazon,Sponsored Products,hair dryer brush,1775,42,77.69,356.76,2
2025-11-01,Amazon,Sponsored Products,travel hair dryer,6311,47,88.87,891.41,6
2025-11-01,Amazon,Sponsored Products,professional flat iron,2362,70,70.89,466.63,4
2025-11-01,Amazon,Sponsored Products,curling wand,5908,130,172.29,811.8,6
2025-11-01,Amazon,Sponsored Products,hair straightener brush,4278,46,73.1,137.71,1
2025-11-01,Amazon,Sponsored Products,salon blow dryer,2042,23,47.26,112.39,1
2025-11-01,Amazon,Sponsored Products,fast dry hair dryer,2883,54,45,390.03,5
2025-11-01,Amazon,Sponsored Products,diffuser attachment,2543,36,73.23,45.67,1
2025-11-01,Amazon,Sponsored Products,mini flat iron,5488,163,107.64,385.8,7
2025-11-01,Amazon,Sponsored Products,cordless hair straightener,1286,18,28.39,63.01,1
2025-11-01,Amazon,Sponsored Products,round brush blow dry,1074,25,48.19,200.44,2
2025-11-01,Amazon,Sponsored Products,hair dryer for dogs,6037,44,90.29,0,0
2025-11-01,Amazon,Sponsored Products,wig steamer,2978,81,90.61,0,0
2025-11-01,Amazon,Sponsored Products,paint drying gun,5907,41,34.96,0,0
2025-11-01,Amazon,Sponsored Products,industrial heat gun,644,20,39.9,0,0
2025-12-01,Amazon,Sponsored Products,ionic hair dryer,6129,137,92.67,1713.93,14
2025-12-01,Amazon,Sponsored Products,ceramic flat iron,778,22,38.24,347.93,2
2025-12-01,Amazon,Sponsored Products,detangling brush,1689,53,110.99,144.13,2
2025-12-01,Amazon,Sponsored Products,blowout brush,3917,92,127.02,677.75,7
2025-12-01,Amazon,Sponsored Products,titanium flat iron,2482,61,126.31,708.33,5
2025-12-01,Amazon,Sponsored Products,hair dryer brush,1775,42,78.25,326.79,2
2025-12-01,Amazon,Sponsored Products,travel hair dryer,6311,47,89.52,949.44,6
2025-12-01,Amazon,Sponsored Products,professional flat iron,2396,71,71.4,695.9,6
2025-12-01,Amazon,Sponsored Products,curling wand,5954,131,173.54,865.94,7
2025-12-01,Amazon,Sponsored Products,hair straightener brush,4371,47,73.63,154.4,1
2025-12-01,Amazon,Sponsored Products,salon blow dryer,2042,23,47.6,232.55,2
2025-12-01,Amazon,Sponsored Products,fast dry hair dryer,2936,55,45.32,537.55,7
2025-12-01,Amazon,Sponsored Products,diffuser attachment,2614,37,73.76,54.79,1
2025-12-01,Amazon,Sponsored Products,mini flat iron,5555,165,108.43,303.01,6
2025-12-01,Amazon,Sponsored Products,cordless hair straightener,1286,18,28.6,49.5,1
2025-12-01,Amazon,Sponsored Products,round brush blow dry,1074,25,48.54,259.89,3
2025-12-01,Amazon,Sponsored Products,hair dryer for dogs,6037,44,90.95,0,0
2025-12-01,Amazon,Sponsored Products,wig steamer,2978,81,91.27,0,0
2025-12-01,Amazon,Sponsored Products,paint drying gun,5907,41,35.21,0,0
2025-12-01,Amazon,Sponsored Products,industrial heat gun,644,20,40.19,0,0
2026-01-01,Amazon,Sponsored Products,ionic hair dryer,6173,138,93.7,1528.65,12
2026-01-01,Amazon,Sponsored Products,ceramic flat iron,778,22,38.66,541.78,3
2026-01-01,Amazon,Sponsored Products,detangling brush,1721,54,112.23,66.3,1
2026-01-01,Amazon,Sponsored Products,blowout brush,3960,93,128.43,725.51,8
2026-01-01,Amazon,Sponsored Products,titanium flat iron,2523,62,127.71,678.95,5
2026-01-01,Amazon,Sponsored Products,hair dryer brush,1818,43,79.12,644.35,4
2026-01-01,Amazon,Sponsored Products,travel hair dryer,6311,47,90.51,670.31,4
2026-01-01,Amazon,Sponsored Products,professional flat iron,2396,71,72.2,370.06,4
2026-01-01,Amazon,Sponsored Products,curling wand,5999,132,175.47,744.54,6
2026-01-01,Amazon,Sponsored Products,hair straightener brush,4371,47,74.45,137.56,1
2026-01-01,Amazon,Sponsored Products,salon blow dryer,2131,24,48.13,212.22,2
2026-01-01,Amazon,Sponsored Products,fast dry hair dryer,2936,55,45.83,263.3,4
2026-01-01,Amazon,Sponsored Products,diffuser attachment,2614,37,74.58,53.42,1
2026-01-01,Amazon,Sponsored Products,mini flat iron,5589,166,109.63,373.44,6
2026-01-01,Amazon,Sponsored Products,cordless hair straightener,1286,18,28.92,52.25,1
2026-01-01,Amazon,Sponsored Products,round brush blow dry,1074,25,49.08,168.76,2
2026-01-01,Amazon,Sponsored Products,hair dryer for dogs,6174,45,91.96,0,0
2026-01-01,Amazon,Sponsored Products,wig steamer,3014,82,92.28,0,0
2026-01-01,Amazon,Sponsored Products,paint drying gun,6051,42,35.6,0,0
2026-01-01,Amazon,Sponsored Products,industrial heat gun,644,20,40.63,0,0
2026-02-01,Amazon,Sponsored Products,ionic hair dryer,6576,147,100.04,1981.41,16
2026-02-01,Amazon,Sponsored Products,ceramic flat iron,848,24,41.28,342.67,2
2026-02-01,Amazon,Sponsored Products,detangling brush,1848,58,119.82,142.81,2
2026-02-01,Amazon,Sponsored Products,blowout brush,4215,99,137.12,454.95,5
2026-02-01,Amazon,Sponsored Products,titanium flat iron,2685,66,136.36,549.18,5
2026-02-01,Amazon,Sponsored Products,hair dryer brush,1902,45,84.48,509.04,3
2026-02-01,Amazon,Sponsored Products,travel hair dryer,6848,51,96.64,881.99,5
2026-02-01,Amazon,Sponsored Products,professional flat iron,2564,76,77.08,538.95,5
2026-02-01,Amazon,Sponsored Products,curling wand,6408,141,187.34,1396.91,9
2026-02-01,Amazon,Sponsored Products,hair straightener brush,4650,50,79.49,161.56,1
2026-02-01,Amazon,Sponsored Products,salon blow dryer,2220,25,51.39,98.44,1
2026-02-01,Amazon,Sponsored Products,fast dry hair dryer,3150,59,48.93,498.74,7
2026-02-01,Amazon,Sponsored Products,diffuser attachment,2826,40,79.63,49.49,1
2026-02-01,Amazon,Sponsored Products,mini flat iron,5993,178,117.05,467.6,8
2026-02-01,Amazon,Sponsored Products,cordless hair straightener,1429,20,30.87,53.72,1
2026-02-01,Amazon,Sponsored Products,round brush blow dry,1160,27,52.4,204.47,2
2026-02-01,Amazon,Sponsored Products,hair dryer for dogs,6586,48,98.18,0,0
2026-02-01,Amazon,Sponsored Products,wig steamer,3235,88,98.53,0,0
2026-02-01,Amazon,Sponsored Products,paint drying gun,6484,45,38.01,0,0
2026-02-01,Amazon,Sponsored Products,industrial heat gun,709,22,43.38,0,0
2026-03-01,Amazon,Sponsored Products,ionic hair dryer,6129,137,93.2,1814.01,12
2026-03-01,Amazon,Sponsored Products,ceramic flat iron,778,22,38.46,297.31,2
2026-03-01,Amazon,Sponsored Products,detangling brush,1721,54,111.63,128.97,2
2026-03-01,Amazon,Sponsored Products,blowout brush,3917,92,127.74,434.72,5
2026-03-01,Amazon,Sponsored Products,titanium flat iron,2482,61,127.03,565.74,5
2026-03-01,Amazon,Sponsored Products,hair dryer brush,1775,42,78.7,549.54,4
2026-03-01,Amazon,Sponsored Products,travel hair dryer,6311,47,90.03,544.67,4
