spend_date,channel,campaign,spend,attributed_revenue
2025-08-11,Amazon,Sponsored Display,45.48,75.38
2025-08-11,TikTok Shop,Spark Retargeting,32.85,98.6
2025-08-11,Shopify,Holiday Push,84.96,301.31
2025-08-11,Amazon,Clearance Remarketing,16.85,17.12
2025-08-12,Shopify,Brand Search Always-On,53.48,183.81
2025-08-12,Shopify,Prospecting Broad,91.03,149.23
2025-08-12,Amazon,Sponsored Products,64.41,197.93
2025-08-12,TikTok Shop,Creator Boost,41,154.88
2025-08-12,TikTok Shop,Spark Retargeting,37.44,80.84
2025-08-12,Amazon,Clearance Remarketing,25.87,24.63
2025-08-13,Shopify,Brand Search Always-On,33.71,112.79
2025-08-13,Shopify,Prospecting Broad,59.76,98.71
2025-08-13,Amazon,Sponsored Display,21.35,23.85
2025-08-13,TikTok Shop,Creator Boost,48.97,135.42
2025-08-13,TikTok Shop,Spark Retargeting,35.57,89.8
2025-08-13,Shopify,Holiday Push,83.85,287.43
2025-08-13,Amazon,Clearance Remarketing,29.41,30.71
2025-08-14,Shopify,Brand Search Always-On,60.5,226.65
2025-08-14,Shopify,Prospecting Broad,93.98,140.31
2025-08-14,Amazon,Sponsored Products,59.24,181.62
2025-08-14,Amazon,Sponsored Display,25.31,37.74
2025-08-14,TikTok Shop,Creator Boost,57.68,265.3
2025-08-14,TikTok Shop,Spark Retargeting,23.68,49.71
2025-08-14,Amazon,Clearance Remarketing,15.27,16.26
2025-08-15,Shopify,Brand Search Always-On,42.15,153.9
2025-08-15,Shopify,Prospecting Broad,100.38,117.36
2025-08-15,Amazon,Sponsored Products,77.71,179.83
2025-08-15,Amazon,Sponsored Display,41.21,76.03
2025-08-15,TikTok Shop,Creator Boost,47.75,221.14
2025-08-15,TikTok Shop,Spark Retargeting,36.79,94.82
2025-08-15,Shopify,Holiday Push,46.6,165.42
2025-08-15,Amazon,Clearance Remarketing,34.18,35.56
2025-08-16,Shopify,Brand Search Always-On,46.67,143.2
2025-08-16,Shopify,Prospecting Broad,53.59,61.38
2025-08-16,Amazon,Sponsored Products,75.93,258.74
2025-08-16,Amazon,Sponsored Display,45.35,83.19
2025-08-16,TikTok Shop,Creator Boost,56.29,221.51
2025-08-16,TikTok Shop,Spark Retargeting,24.72,59.91
2025-08-16,Shopify,Holiday Push,85.62,256.35
2025-08-16,Amazon,Clearance Remarketing,29.68,29.21
2025-08-17,Shopify,Brand Search Always-On,33.04,90.3
2025-08-17,Shopify,Prospecting Broad,63.53,91.14
2025-08-17,Amazon,Sponsored Products,64.89,261.86
2025-08-17,Amazon,Sponsored Display,35.33,58.64
2025-08-17,TikTok Shop,Creator Boost,49.72,161.07
2025-08-17,TikTok Shop,Spark Retargeting,24.17,44.26
2025-08-17,Shopify,Holiday Push,77.15,216.88
2025-08-17,Amazon,Clearance Remarketing,26.27,34.88
2025-08-18,Shopify,Brand Search Always-On,50.51,181.36
2025-08-18,Shopify,Prospecting Broad,60.08,63.2
2025-08-18,Amazon,Sponsored Products,60.83,210.99
2025-08-18,Amazon,Sponsored Display,38.48,68.39
2025-08-18,TikTok Shop,Creator Boost,35.88,112.45
2025-08-18,TikTok Shop,Spark Retargeting,31.15,94.3
2025-08-18,Shopify,Holiday Push,92.24,264.53
2025-08-18,Amazon,Clearance Remarketing,17.23,16.83
2025-08-19,Shopify,Brand Search Always-On,45.44,186.98
2025-08-19,Shopify,Prospecting Broad,67.12,82.45
2025-08-19,Amazon,Sponsored Products,80.26,248.42
2025-08-19,Amazon,Sponsored Display,46.04,85.99
2025-08-19,TikTok Shop,Creator Boost,36.36,120.72
2025-08-19,TikTok Shop,Spark Retargeting,26.04,47.85
2025-08-19,Shopify,Holiday Push,53.13,193.49
2025-08-19,Amazon,Clearance Remarketing,15.34,14.17
2025-08-20,Shopify,Brand Search Always-On,57.41,256.27
2025-08-20,Shopify,Prospecting Broad,64.46,106.07
2025-08-20,Amazon,Sponsored Display,31.13,42.23
2025-08-20,TikTok Shop,Creator Boost,39.84,153.49
2025-08-20,TikTok Shop,Spark Retargeting,40.36,125.91
2025-08-20,Shopify,Holiday Push,76.53,192.73
2025-08-20,Amazon,Clearance Remarketing,19.4,17.25
2025-08-21,Shopify,Brand Search Always-On,44.77,119.33
2025-08-21,Shopify,Prospecting Broad,62.88,65.99
2025-08-21,Amazon,Sponsored Products,73.24,187.17
2025-08-21,Amazon,Sponsored Display,22.57,36.23
2025-08-21,TikTok Shop,Creator Boost,41.36,160.41
2025-08-21,TikTok Shop,Spark Retargeting,28.93,76.15
2025-08-21,Shopify,Holiday Push,79.02,267.94
2025-08-22,Shopify,Brand Search Always-On,30.51,133.06
2025-08-22,Shopify,Prospecting Broad,76.86,108.86
2025-08-22,Amazon,Sponsored Products,57.02,225.93
2025-08-22,Amazon,Sponsored Display,22.5,30.46
2025-08-22,TikTok Shop,Creator Boost,42.55,175.47
2025-08-22,TikTok Shop,Spark Retargeting,30.51,80.32
2025-08-22,Shopify,Holiday Push,66.25,194.7
2025-08-22,Amazon,Clearance Remarketing,28.63,33.06
2025-08-23,Shopify,Brand Search Always-On,57.73,252.97
2025-08-23,Shopify,Prospecting Broad,111.5,186.37
2025-08-23,Amazon,Sponsored Products,39.39,150.12
2025-08-23,Amazon,Sponsored Display,23.71,40.76
2025-08-23,TikTok Shop,Creator Boost,37.5,163.68
2025-08-23,TikTok Shop,Spark Retargeting,33.37,65.47
2025-08-23,Shopify,Holiday Push,57.28,129.52
2025-08-24,Shopify,Brand Search Always-On,40.09,169.16
2025-08-24,Shopify,Prospecting Broad,87.2,103.75
2025-08-24,Amazon,Sponsored Products,53.27,141.82
2025-08-24,Amazon,Sponsored Display,22.27,24.58
2025-08-24,TikTok Shop,Creator Boost,38.62,103.67
2025-08-24,TikTok Shop,Spark Retargeting,36.66,85.96
2025-08-24,Shopify,Holiday Push,94.42,333.09
2025-08-24,Amazon,Clearance Remarketing,34.56,32.98
2025-08-25,Shopify,Brand Search Always-On,36.9,168.69
2025-08-25,Shopify,Prospecting Broad,85.68,119.99
2025-08-25,Amazon,Sponsored Products,76.36,250.4
2025-08-25,Amazon,Sponsored Display,23.64,38.68
2025-08-25,TikTok Shop,Creator Boost,73.31,239.7
2025-08-25,TikTok Shop,Spark Retargeting,40.8,108.01
2025-08-25,Shopify,Holiday Push,95.06,260.48
2025-08-25,Amazon,Clearance Remarketing,27.69,33.55
2025-08-26,Shopify,Brand Search Always-On,53.62,242.02
2025-08-26,Shopify,Prospecting Broad,93.16,134.03
2025-08-26,Amazon,Sponsored Products,42.34,104.83
2025-08-26,Amazon,Sponsored Display,42.9,68.6
2025-08-26,TikTok Shop,Creator Boost,75.01,341.41
2025-08-26,TikTok Shop,Spark Retargeting,34.71,79.45
2025-08-26,Shopify,Holiday Push,72.55,166.03
2025-08-27,Shopify,Brand Search Always-On,33.01,101.96
2025-08-27,Shopify,Prospecting Broad,91.35,112.67
2025-08-27,Amazon,Sponsored Products,40,110.79
2025-08-27,Amazon,Sponsored Display,27.99,37.82
2025-08-27,TikTok Shop,Creator Boost,71.04,202.95
2025-08-27,TikTok Shop,Spark Retargeting,26.11,83.7
2025-08-27,Shopify,Holiday Push,46.38,116.37
2025-08-27,Amazon,Clearance Remarketing,30.43,28.04
2025-08-28,Shopify,Brand Search Always-On,41.9,152.06
2025-08-28,Shopify,Prospecting Broad,60.44,96.88
2025-08-28,Amazon,Sponsored Display,34.23,60.68
2025-08-28,TikTok Shop,Creator Boost,39.92,171.99
2025-08-28,TikTok Shop,Spark Retargeting,26,75.39
2025-08-28,Shopify,Holiday Push,80.26,257.62
2025-08-28,Amazon,Clearance Remarketing,32.66,30.1
2025-08-29,Shopify,Brand Search Always-On,34.14,129.67
2025-08-29,Shopify,Prospecting Broad,79.46,102
2025-08-29,Amazon,Sponsored Products,61.12,171.43
2025-08-29,Amazon,Sponsored Display,42.75,77.34
2025-08-29,TikTok Shop,Creator Boost,50.23,163.3
2025-08-29,Shopify,Holiday Push,75.96,202.87
2025-08-29,Amazon,Clearance Remarketing,15.13,21.98
2025-08-30,Shopify,Brand Search Always-On,41.87,140.72
2025-08-30,Amazon,Sponsored Products,36.44,117.26
2025-08-30,TikTok Shop,Creator Boost,45.16,182.82
2025-08-30,TikTok Shop,Spark Retargeting,33.47,105.4
2025-08-30,Amazon,Clearance Remarketing,22.46,21.77
2025-08-31,Shopify,Brand Search Always-On,59.72,161.41
2025-08-31,Shopify,Prospecting Broad,67.73,98.5
2025-08-31,Amazon,Sponsored Products,52.01,199.61
2025-08-31,Amazon,Sponsored Display,26.57,45.44
2025-08-31,TikTok Shop,Creator Boost,33.23,149.84
2025-08-31,Shopify,Holiday Push,64.93,149.77
2025-08-31,Amazon,Clearance Remarketing,32.73,44.12
2025-09-01,Shopify,Brand Search Always-On,51.14,236.11
2025-09-01,Shopify,Prospecting Broad,98.31,109.92
2025-09-01,Amazon,Sponsored Products,58.3,238.33
2025-09-01,Amazon,Sponsored Display,27.24,37.95
2025-09-01,TikTok Shop,Creator Boost,43.71,201.7
2025-09-01,TikTok Shop,Spark Retargeting,28.75,67.84
2025-09-01,Shopify,Holiday Push,73.33,234.19
2025-09-01,Amazon,Clearance Remarketing,21.44,29.93
2025-09-02,Shopify,Brand Search Always-On,40.83,124.94
2025-09-02,Shopify,Prospecting Broad,110.93,199.37
2025-09-02,Amazon,Sponsored Products,42.46,122.18
2025-09-02,Amazon,Sponsored Display,21.48,27.99
2025-09-02,TikTok Shop,Spark Retargeting,37.16,79.55
2025-09-02,Shopify,Holiday Push,97.14,207.21
2025-09-02,Amazon,Clearance Remarketing,25.36,32.35
2025-09-03,Shopify,Brand Search Always-On,51.39,156.84
2025-09-03,Shopify,Prospecting Broad,102.25,164.39
2025-09-03,Amazon,Sponsored Products,80.3,256.88
2025-09-03,Amazon,Sponsored Display,35.95,65.68
2025-09-03,TikTok Shop,Creator Boost,55.54,255.42
2025-09-03,TikTok Shop,Spark Retargeting,25.28,47.11
2025-09-03,Shopify,Holiday Push,67.28,141.88
2025-09-03,Amazon,Clearance Remarketing,18.12,20.95
2025-09-04,Shopify,Brand Search Always-On,50.86,148.66
2025-09-04,Shopify,Prospecting Broad,94.87,168.55
2025-09-04,Amazon,Sponsored Products,68.3,219.09
2025-09-04,TikTok Shop,Creator Boost,56.6,221.95
2025-09-04,Shopify,Holiday Push,46.54,103.8
2025-09-04,Amazon,Clearance Remarketing,34.47,43.45
2025-09-05,Shopify,Brand Search Always-On,55.91,179.89
2025-09-05,Shopify,Prospecting Broad,59.27,61.43
2025-09-05,Amazon,Sponsored Products,46.57,125.04
2025-09-05,Amazon,Sponsored Display,31.19,53.22
2025-09-05,TikTok Shop,Creator Boost,34.01,103.2
2025-09-05,TikTok Shop,Spark Retargeting,41.83,91.81
2025-09-05,Shopify,Holiday Push,88.76,238.48
2025-09-05,Amazon,Clearance Remarketing,26.22,38.67
2025-09-06,Shopify,Brand Search Always-On,60.93,160.02
2025-09-06,Shopify,Prospecting Broad,87.98,150.49
2025-09-06,Amazon,Sponsored Products,38.06,96.53
2025-09-06,Amazon,Sponsored Display,21.86,41.58
2025-09-06,TikTok Shop,Creator Boost,60.91,247.02
2025-09-06,TikTok Shop,Spark Retargeting,37.38,73
2025-09-06,Shopify,Holiday Push,53.4,146.06
2025-09-06,Amazon,Clearance Remarketing,20.52,23.41
2025-09-07,Shopify,Brand Search Always-On,55.04,253.35
2025-09-07,Shopify,Prospecting Broad,101.41,158.5
2025-09-07,Amazon,Sponsored Products,55.2,179.19
2025-09-07,Amazon,Sponsored Display,42.53,71.73
2025-09-07,TikTok Shop,Creator Boost,59.74,233.68
2025-09-07,TikTok Shop,Spark Retargeting,30.85,60.37
2025-09-07,Shopify,Holiday Push,75.52,249.19
2025-09-07,Amazon,Clearance Remarketing,32.52,42.83
2025-09-08,Shopify,Brand Search Always-On,62.22,198.68
2025-09-08,Shopify,Prospecting Broad,87.91,105.68
2025-09-08,Amazon,Sponsored Products,69.26,158.56
2025-09-08,Amazon,Sponsored Display,33.42,45.72
2025-09-08,TikTok Shop,Creator Boost,38.74,103.25
2025-09-08,TikTok Shop,Spark Retargeting,25.44,74.33
2025-09-08,Shopify,Holiday Push,81.76,301.52
2025-09-08,Amazon,Clearance Remarketing,21.18,31.98
2025-09-09,Shopify,Brand Search Always-On,28.5,129.85
2025-09-09,Shopify,Prospecting Broad,97.56,174.76
2025-09-09,Amazon,Sponsored Products,49.66,168.85
2025-09-09,Amazon,Sponsored Display,25.69,40.5
2025-09-09,Shopify,Holiday Push,67.31,196.31
2025-09-09,Amazon,Clearance Remarketing,34.72,39.81
2025-09-10,Shopify,Prospecting Broad,96.29,99.22
2025-09-10,Amazon,Sponsored Products,50.17,113.95
2025-09-10,Amazon,Sponsored Display,43.68,70.55
2025-09-10,TikTok Shop,Creator Boost,70.75,319.52
2025-09-10,TikTok Shop,Spark Retargeting,41.07,116.58
2025-09-10,Shopify,Holiday Push,51.98,191.25
2025-09-10,Amazon,Clearance Remarketing,31.64,43.56
2025-09-11,Shopify,Brand Search Always-On,58.59,229.92
2025-09-11,Shopify,Prospecting Broad,56.34,74.65
2025-09-11,Amazon,Sponsored Products,73.38,294.6
2025-09-11,Amazon,Sponsored Display,41.98,61.48
2025-09-11,TikTok Shop,Creator Boost,63.62,250.89
2025-09-11,TikTok Shop,Spark Retargeting,28.98,72.44
2025-09-11,Amazon,Clearance Remarketing,31.77,45.25
2025-09-12,Shopify,Brand Search Always-On,54.24,178.37
2025-09-12,Shopify,Prospecting Broad,87.04,110.6
2025-09-12,Amazon,Sponsored Products,42.54,108.84
2025-09-12,Amazon,Sponsored Display,22.18,25.93
2025-09-12,TikTok Shop,Creator Boost,71.25,218.29
2025-09-12,TikTok Shop,Spark Retargeting,33.72,77.92
2025-09-12,Shopify,Holiday Push,92.62,276.87
2025-09-12,Amazon,Clearance Remarketing,15.92,19.61
2025-09-13,Shopify,Brand Search Always-On,59.89,207.88
2025-09-13,Shopify,Prospecting Broad,107.1,135.68
2025-09-13,Amazon,Sponsored Products,50.22,171.3
2025-09-13,Amazon,Sponsored Display,33.91,49.92
2025-09-13,TikTok Shop,Creator Boost,65.18,194.9
2025-09-13,TikTok Shop,Spark Retargeting,24.54,77.92
2025-09-13,Shopify,Holiday Push,46.88,131.84
2025-09-13,Amazon,Clearance Remarketing,18.6,20.67
2025-09-14,Shopify,Brand Search Always-On,47,167.04
2025-09-14,Amazon,Sponsored Products,46.48,160.76
2025-09-14,Amazon,Sponsored Display,38.96,49.5
2025-09-14,TikTok Shop,Creator Boost,47.45,212.39
2025-09-14,TikTok Shop,Spark Retargeting,19.88,55.58
2025-09-14,Shopify,Holiday Push,48.5,129.92
2025-09-14,Amazon,Clearance Remarketing,15.63,21.5
2025-09-15,Shopify,Brand Search Always-On,58.08,250.64
2025-09-15,Shopify,Prospecting Broad,107.61,109.12
2025-09-15,Amazon,Sponsored Products,46.54,157.91
2025-09-15,Amazon,Sponsored Display,26.85,46.64
2025-09-15,TikTok Shop,Spark Retargeting,38.64,75.88
2025-09-15,Shopify,Holiday Push,78.48,283.76
2025-09-15,Amazon,Clearance Remarketing,24.39,28.49
2025-09-16,Shopify,Brand Search Always-On,55.98,251.51
2025-09-16,Amazon,Sponsored Products,69.4,204.01
2025-09-16,Amazon,Sponsored Display,44.16,74.73
2025-09-16,TikTok Shop,Creator Boost,52.31,211.13
2025-09-16,TikTok Shop,Spark Retargeting,20.49,64.48
2025-09-16,Shopify,Holiday Push,46.87,167.92
2025-09-16,Amazon,Clearance Remarketing,24.11,26.84
2025-09-17,Shopify,Brand Search Always-On,33.38,108.19
2025-09-17,Amazon,Sponsored Products,77.26,273.24
2025-09-17,TikTok Shop,Creator Boost,74.96,233.71
2025-09-17,TikTok Shop,Spark Retargeting,37.35,112.65
2025-09-17,Shopify,Holiday Push,55.09,141.53
2025-09-17,Amazon,Clearance Remarketing,32.77,37.59
2025-09-18,Shopify,Brand Search Always-On,37.34,102.77
2025-09-18,Shopify,Prospecting Broad,83.87,130.33
2025-09-18,Amazon,Sponsored Products,62.35,163.15
2025-09-18,Amazon,Sponsored Display,40.7,43.84
2025-09-18,TikTok Shop,Creator Boost,72.12,254.57
2025-09-18,TikTok Shop,Spark Retargeting,34.64,77.67
2025-09-18,Shopify,Holiday Push,56.51,178.54
2025-09-18,Amazon,Clearance Remarketing,27.43,39.05
2025-09-19,Shopify,Brand Search Always-On,27.66,81.44
2025-09-19,Shopify,Prospecting Broad,54.87,59.52
2025-09-19,Amazon,Sponsored Products,63,167.13
2025-09-19,Amazon,Sponsored Display,37,70.15
2025-09-19,TikTok Shop,Creator Boost,72.44,357.82
2025-09-19,TikTok Shop,Spark Retargeting,25.5,47.26
2025-09-19,Shopify,Holiday Push,63.21,237.98
2025-09-19,Amazon,Clearance Remarketing,34.84,47.03
2025-09-20,Shopify,Brand Search Always-On,50.76,144.25
2025-09-20,Shopify,Prospecting Broad,69.47,103.29
2025-09-20,Amazon,Sponsored Products,48.77,145.6
2025-09-20,Amazon,Sponsored Display,45.4,62.12
2025-09-20,TikTok Shop,Creator Boost,47.64,190.18
2025-09-20,TikTok Shop,Spark Retargeting,39.49,114.73
2025-09-20,Shopify,Holiday Push,76.85,206.07
2025-09-20,Amazon,Clearance Remarketing,15.84,19.69
2025-09-21,Shopify,Brand Search Always-On,58.29,246.6
2025-09-21,Shopify,Prospecting Broad,81.09,92.82
2025-09-21,Amazon,Sponsored Products,79.62,215.83
2025-09-21,Amazon,Sponsored Display,38.99,46.57
2025-09-21,TikTok Shop,Creator Boost,43.79,139.91
2025-09-21,TikTok Shop,Spark Retargeting,29.08,68.44
2025-09-21,Shopify,Holiday Push,97.05,308.6
2025-09-21,Amazon,Clearance Remarketing,17.53,25.98
2025-09-22,Shopify,Brand Search Always-On,50.19,230.96
2025-09-22,Shopify,Prospecting Broad,58.24,62.96
2025-09-22,TikTok Shop,Creator Boost,63.45,186.31
2025-09-22,TikTok Shop,Spark Retargeting,34.82,109.32
2025-09-22,Shopify,Holiday Push,97.03,220.33
2025-09-22,Amazon,Clearance Remarketing,18.3,22.42
2025-09-23,Shopify,Brand Search Always-On,34.7,89.7
2025-09-23,Amazon,Sponsored Products,49.73,201.29
2025-09-23,Amazon,Sponsored Display,22.75,44.13
2025-09-23,TikTok Shop,Creator Boost,63.1,218.54
2025-09-23,TikTok Shop,Spark Retargeting,29.42,88.46
2025-09-23,Shopify,Holiday Push,74.07,199.8
2025-09-23,Amazon,Clearance Remarketing,16.54,19.09
2025-09-24,Shopify,Brand Search Always-On,59.85,245.8
2025-09-24,Amazon,Sponsored Products,74.39,201.22
2025-09-24,Amazon,Sponsored Display,41.53,77
2025-09-24,TikTok Shop,Creator Boost,52.01,182.19
2025-09-24,TikTok Shop,Spark Retargeting,34.17,63.81
2025-09-24,Shopify,Holiday Push,49.53,139.96
2025-09-24,Amazon,Clearance Remarketing,32.41,46.87
2025-09-25,Shopify,Brand Search Always-On,28.89,78.97
2025-09-25,Shopify,Prospecting Broad,69.46,89.47
2025-09-25,Amazon,Sponsored Products,48.24,131.84
2025-09-25,Amazon,Sponsored Display,34.76,50.55
2025-09-25,TikTok Shop,Creator Boost,58.58,249.19
2025-09-25,TikTok Shop,Spark Retargeting,27.44,77.31
2025-09-25,Shopify,Holiday Push,77.86,277.81
2025-09-25,Amazon,Clearance Remarketing,21.13,31.1
2025-09-26,Shopify,Brand Search Always-On,53.49,176.94
2025-09-26,Shopify,Prospecting Broad,88.05,137.83
2025-09-26,Amazon,Sponsored Products,54.71,215.01
2025-09-26,Amazon,Sponsored Display,45.24,62.2
2025-09-26,TikTok Shop,Creator Boost,62.3,177.35
2025-09-26,TikTok Shop,Spark Retargeting,29.08,72.71
2025-09-26,Shopify,Holiday Push,67.48,174.39
2025-09-26,Amazon,Clearance Remarketing,22.61,21.11
2025-09-27,Shopify,Brand Search Always-On,57.08,260.95
2025-09-27,Shopify,Prospecting Broad,94.4,116.43
2025-09-27,Amazon,Sponsored Products,82.35,203.37
2025-09-27,Amazon,Sponsored Display,46.64,66.06
2025-09-27,TikTok Shop,Creator Boost,55.31,190.4
2025-09-27,TikTok Shop,Spark Retargeting,31.18,81.28
2025-09-27,Shopify,Holiday Push,59.38,138.46
2025-09-28,Shopify,Brand Search Always-On,55.47,174.2
2025-09-28,Shopify,Prospecting Broad,75.2,90.74
2025-09-28,Amazon,Sponsored Products,75.48,294.13
