invoice_id,order_id,customer_id,invoice_date,terms,due_date,amount,paid_date
INV00077,ORD000383,C00786,2025-08-14,Net 30,2025-09-13,279.18,2025-09-17
INV00078,ORD000384,C00342,2026-03-09,Net 30,2026-04-08,192.16,2026-04-08
INV00079,ORD000388,C00592,2026-06-22,Net 60,2026-08-21,113.68,
INV00080,ORD000389,C01047,2026-02-17,Net 30,2026-03-19,30.19,2026-03-26
INV00081,ORD000393,C00719,2025-08-26,Net 60,2025-10-25,264.98,2025-11-04
INV00082,ORD000413,C00337,2026-01-04,Net 60,2026-03-05,166.1,2026-03-15
INV00083,ORD000414,C00907,2026-04-07,Net 60,2026-06-06,43.02,2026-06-11
INV00084,ORD000424,C00417,2025-11-25,Net 30,2025-12-25,132.57,2025-12-31
INV00085,ORD000431,C00342,2025-11-19,Net 30,2025-12-19,60.86,
INV00086,ORD000436,C00095,2026-07-24,Net 60,2026-09-22,151.91,
INV00087,ORD000438,C00497,2025-07-29,Net 30,2025-08-28,162.46,2025-08-27
INV00088,ORD000444,C01163,2026-02-19,Net 30,2026-03-21,99.84,2026-03-25
INV00089,ORD000462,C00511,2025-11-20,Net 30,2025-12-20,368.52,2025-12-31
INV00090,ORD000464,C00449,2026-06-04,Net 30,2026-07-04,65.75,
INV00091,ORD000476,C00067,2026-07-02,Net 30,2026-08-01,105.69,
INV00092,ORD000477,C00453,2025-09-16,Net 30,2025-10-16,139.44,2025-10-15
INV00093,ORD000482,C00769,2026-05-10,Net 60,2026-07-09,99.06,2026-07-20
INV00094,ORD000496,C00466,2026-02-07,Net 30,2026-03-09,404.28,2026-03-19
INV00095,ORD000497,C00483,2026-01-31,Net 30,2026-03-02,29.95,2026-03-13
INV00096,ORD000498,C01170,2025-10-31,Net 30,2025-11-30,265.86,2025-11-23
INV00097,ORD000502,C00668,2025-08-14,Net 60,2025-10-13,234.84,2025-10-26
INV00098,ORD000512,C00827,2025-09-14,Net 30,2025-10-14,27.39,2025-10-11
INV00099,ORD000517,C01130,2026-01-13,Net 30,2026-02-12,94.92,2026-02-17
INV00100,ORD000522,C00814,2025-07-29,Net 30,2025-08-28,283.25,2025-08-20
INV00101,ORD000531,C00246,2026-06-15,Net 30,2026-07-15,193.02,
INV00102,ORD000537,C00409,2025-09-13,Net 30,2025-10-13,99.61,2025-10-06
INV00103,ORD000547,C00242,2025-12-11,Net 60,2026-02-09,124.48,2026-02-03
INV00104,ORD000548,C00410,2025-10-15,Net 30,2025-11-14,209.3,2025-11-14
INV00105,ORD000559,C00989,2026-03-24,Net 30,2026-04-23,348.15,2026-05-01
INV00106,ORD000566,C00918,2025-09-27,Net 30,2025-10-27,193.92,
INV00107,ORD000570,C00969,2026-07-03,Net 30,2026-08-02,188.14,
INV00108,ORD000576,C00887,2025-12-02,Net 30,2026-01-01,233.37,2026-01-13
INV00109,ORD000579,C00643,2026-01-01,Net 60,2026-03-02,317.9,2026-03-17
INV00110,ORD000581,C01169,2026-04-12,Net 30,2026-05-12,144.48,2026-05-05
INV00111,ORD000587,C00111,2025-09-25,Net 30,2025-10-25,35.32,2025-11-03
INV00112,ORD000588,C00908,2026-05-27,Net 30,2026-06-26,55.34,2026-06-27
INV00113,ORD000590,C00245,2025-09-05,Net 60,2025-11-04,415.45,2025-11-16
INV00114,ORD000593,C00451,2025-08-10,Net 30,2025-09-09,27.39,2025-09-20
INV00115,ORD000594,C00327,2026-06-24,Net 30,2026-07-24,305.82,2026-07-25
INV00116,ORD000596,C00019,2025-10-20,Net 30,2025-11-19,154.52,2025-11-21
INV00117,ORD000599,C01042,2026-07-17,Net 30,2026-08-16,97.54,2026-07-25
INV00118,ORD000601,C01093,2025-12-08,Net 30,2026-01-07,39.16,2025-12-30
INV00119,ORD000610,C00605,2025-10-09,Net 30,2025-11-08,192,2025-11-15
INV00120,ORD000612,C01122,2025-11-30,Net 30,2025-12-30,30.24,2026-01-01
INV00121,ORD000615,C00112,2025-08-21,Net 30,2025-09-20,70.61,2025-09-23
INV00122,ORD000618,C00627,2025-12-09,Net 30,2026-01-08,293.49,2026-01-20
INV00123,ORD000623,C01186,2026-06-18,Net 30,2026-07-18,256.17,
INV00124,ORD000624,C01106,2026-02-19,Net 60,2026-04-20,96.29,2026-04-23
INV00125,ORD000625,C00596,2025-12-01,Net 30,2025-12-31,28.42,2025-12-30
INV00126,ORD000630,C00740,2025-11-04,Net 30,2025-12-04,252.67,2025-11-27
INV00127,ORD000634,C00576,2025-08-09,Net 30,2025-09-08,44.42,
INV00128,ORD000638,C00330,2025-12-07,Net 30,2026-01-06,35.03,2026-01-20
INV00129,ORD000639,C00301,2026-05-04,Net 30,2026-06-03,29.25,2026-06-14
INV00130,ORD000642,C00373,2026-01-11,Net 30,2026-02-10,162.76,2026-02-14
INV00131,ORD000644,C01033,2026-02-09,Net 60,2026-04-10,270.81,2026-04-08
INV00132,ORD000645,C00080,2025-09-08,Net 30,2025-10-08,248.9,2025-10-02
INV00133,ORD000649,C01114,2025-10-07,Net 60,2025-12-06,66.64,2025-12-18
INV00134,ORD000650,C01071,2025-11-01,Net 30,2025-12-01,27.39,2025-12-08
INV00135,ORD000652,C00520,2026-04-27,Net 30,2026-05-27,267.33,2026-06-04
INV00136,ORD000653,C00565,2026-01-11,Net 30,2026-02-10,262.32,2026-02-16
INV00137,ORD000654,C01137,2025-07-26,Net 60,2025-09-24,143.55,2025-09-22
INV00138,ORD000656,C00821,2026-07-20,Net 60,2026-09-18,87.85,
INV00139,ORD000666,C00149,2025-12-14,Net 30,2026-01-13,288.72,2026-01-14
INV00140,ORD000675,C00014,2026-06-20,Net 60,2026-08-19,446.65,
INV00141,ORD000680,C00532,2026-02-07,Net 30,2026-03-09,146.55,2026-03-07
INV00142,ORD000684,C00469,2025-11-29,Net 30,2025-12-29,131.5,2026-01-09
INV00143,ORD000685,C00886,2025-12-29,Net 30,2026-01-28,140.62,2026-02-05
INV00144,ORD000691,C01180,2026-01-05,Net 60,2026-03-06,272.37,2026-03-07
INV00145,ORD000699,C00319,2026-03-22,Net 30,2026-04-21,126.21,2026-05-05
INV00146,ORD000702,C00912,2025-12-30,Net 60,2026-02-28,88.38,2026-02-22
INV00147,ORD000703,C00936,2026-02-23,Net 30,2026-03-25,357.45,2026-04-01
INV00148,ORD000704,C00466,2026-06-14,Net 30,2026-07-14,127.44,2026-07-20
INV00149,ORD000706,C00280,2025-11-21,Net 30,2025-12-21,142.31,2026-01-04
INV00150,ORD000711,C00557,2026-03-08,Net 60,2026-05-07,177.35,
INV00151,ORD000727,C00318,2026-04-07,Net 30,2026-05-07,125.04,2026-05-05
INV00152,ORD000732,C00604,2026-03-28,Net 30,2026-04-27,289.91,2026-04-23
INV00153,ORD000735,C00777,2025-08-31,Net 30,2025-09-30,328.4,2025-09-26
INV00154,ORD000737,C00580,2026-05-13,Net 30,2026-06-12,94.69,2026-06-23
INV00155,ORD000738,C00137,2025-10-25,Net 30,2025-11-24,83.58,2025-11-25
INV00156,ORD000743,C00545,2025-10-11,Net 30,2025-11-10,80.13,2025-11-23
INV00157,ORD000745,C01144,2025-08-04,Net 30,2025-09-03,208.51,2025-09-12
INV00158,ORD000747,C00692,2025-10-29,Net 30,2025-11-28,301.44,2025-12-06
INV00159,ORD000763,C00402,2025-12-28,Net 30,2026-01-27,389,2026-02-06
INV00160,ORD000769,C00303,2026-07-07,Net 30,2026-08-06,176.52,
INV00161,ORD000771,C00434,2026-06-25,Net 60,2026-08-24,132.57,
INV00162,ORD000772,C00990,2026-05-21,Net 30,2026-06-20,99.6,2026-07-01
INV00163,ORD000776,C01089,2026-01-07,Net 30,2026-02-06,95.4,2026-02-02
INV00164,ORD000777,C00938,2025-10-18,Net 30,2025-11-17,107.06,2025-11-26
INV00165,ORD000782,C00313,2026-01-22,Net 30,2026-02-21,130.32,2026-02-23
INV00166,ORD000788,C01162,2025-09-11,Net 30,2025-10-11,188.45,2025-10-16
INV00167,ORD000794,C00780,2026-02-17,Net 60,2026-04-18,193.93,2026-04-18
INV00168,ORD000819,C00435,2025-10-30,Net 30,2025-11-29,77.67,2025-11-25
INV00169,ORD000824,C00647,2026-05-24,Net 30,2026-06-23,114.2,2026-06-20
INV00170,ORD000826,C00340,2026-01-30,Net 30,2026-03-01,233.98,2026-03-10
INV00171,ORD000830,C00052,2026-01-12,Net 60,2026-03-13,147.73,2026-03-05
INV00172,ORD000845,C00529,2026-04-21,Net 30,2026-05-21,66.53,2026-05-20
INV00173,ORD000848,C01177,2025-10-17,Net 30,2025-11-16,35.03,2025-11-20
INV00174,ORD000851,C00326,2025-12-31,Net 30,2026-01-30,66.65,2026-02-04
INV00175,ORD000852,C00883,2025-12-01,Net 30,2025-12-31,178.95,2026-01-13
INV00176,ORD000855,C00777,2026-01-03,Net 60,2026-03-04,134.52,2026-02-25
INV00177,ORD000858,C00624,2026-06-14,Net 60,2026-08-13,84.89,
INV00178,ORD000859,C01046,2026-01-05,Net 60,2026-03-06,213.84,2026-03-17
INV00179,ORD000860,C00109,2025-12-24,Net 30,2026-01-23,146.55,2026-01-18
INV00180,ORD000862,C00808,2026-05-20,Net 30,2026-06-19,269.56,2026-06-25
INV00181,ORD000868,C00922,2026-05-19,Net 30,2026-06-18,268.06,2026-07-02
INV00182,ORD000869,C00016,2026-03-06,Net 60,2026-05-05,269.22,2026-04-30
INV00183,ORD000871,C00573,2026-01-27,Net 60,2026-03-28,54.78,2026-03-23
INV00184,ORD000875,C00347,2026-05-14,Net 30,2026-06-13,242.73,2026-06-27
INV00185,ORD000878,C00310,2026-07-07,Net 60,2026-09-05,325.42,
INV00186,ORD000887,C00400,2026-07-09,Net 30,2026-08-08,83.5,
INV00187,ORD000903,C00081,2026-06-17,Net 30,2026-07-17,119.74,2026-07-24
INV00188,ORD000909,C00306,2025-08-05,Net 30,2025-09-04,200.94,2025-09-14
INV00189,ORD000920,C00369,2026-06-27,Net 30,2026-07-27,116.23,2026-07-21
INV00190,ORD000921,C00483,2026-01-21,Net 30,2026-02-20,27.52,2026-02-15
INV00191,ORD000922,C00742,2025-10-04,Net 60,2025-12-03,192.65,2025-12-02
INV00192,ORD000935,C00349,2026-05-14,Net 30,2026-06-13,379.34,2026-06-23
INV00193,ORD000938,C00011,2025-10-31,Net 60,2025-12-30,104.08,2026-01-05
INV00194,ORD000946,C00084,2025-12-08,Net 30,2026-01-07,104.19,2026-01-14
INV00195,ORD000947,C00420,2025-10-21,Net 60,2025-12-20,24.58,2026-01-04
INV00196,ORD000948,C00233,2026-04-04,Net 60,2026-06-03,364.77,2026-05-26
INV00197,ORD000949,C00867,2025-08-21,Net 30,2025-09-20,112.5,2025-09-27
INV00198,ORD000957,C01086,2026-06-16,Net 60,2026-08-15,230.4,
INV00199,ORD000961,C00260,2025-10-26,Net 30,2025-11-25,148.38,2025-12-08
INV00200,ORD000962,C00072,2025-09-13,Net 60,2025-11-12,234.39,
INV00201,ORD000963,C00618,2026-01-25,Net 30,2026-02-24,66.96,
INV00202,ORD000968,C00400,2026-01-22,Net 60,2026-03-23,203.02,
INV00203,ORD000969,C00913,2026-04-23,Net 60,2026-06-22,303.24,2026-07-03
INV00204,ORD000974,C00177,2026-03-18,Net 30,2026-04-17,31.38,2026-04-27
INV00205,ORD000978,C00623,2025-09-08,Net 30,2025-10-08,245.34,2025-10-15
INV00206,ORD000985,C00158,2025-08-04,Net 30,2025-09-03,247.57,2025-08-30
INV00207,ORD000992,C01072,2025-12-27,Net 60,2026-02-25,159.84,2026-02-26
INV00208,ORD001006,C00835,2026-06-21,Net 30,2026-07-21,178.16,
INV00209,ORD001017,C00704,2026-01-08,Net 30,2026-02-07,372.47,2026-02-01
INV00210,ORD001021,C01105,2026-02-07,Net 30,2026-03-09,330.85,2026-03-02
INV00211,ORD001033,C00439,2026-07-07,Net 30,2026-08-06,78.14,
INV00212,ORD001035,C01088,2026-01-20,Net 30,2026-02-19,138.47,2026-02-15
INV00213,ORD001038,C01023,2026-01-11,Net 30,2026-02-10,85.26,2026-02-04
INV00214,ORD001039,C00889,2025-10-02,Net 30,2025-11-01,214.08,2025-11-03
INV00215,ORD001059,C00136,2026-06-13,Net 30,2026-07-13,95.59,
INV00216,ORD001065,C00469,2025-10-28,Net 30,2025-11-27,56.84,2025-12-01
INV00217,ORD001067,C00533,2026-01-22,Net 30,2026-02-21,129.06,2026-03-08
INV00218,ORD001075,C00121,2026-06-21,Net 60,2026-08-20,24.58,
INV00219,ORD001079,C00887,2025-10-16,Net 30,2025-11-15,17.66,2025-11-24
INV00220,ORD001086,C00994,2026-03-14,Net 60,2026-05-13,70.69,2026-05-18
INV00221,ORD001089,C01169,2025-11-10,Net 60,2026-01-09,22.39,
INV00222,ORD001107,C00168,2026-01-16,Net 60,2026-03-17,264.38,2026-03-09
INV00223,ORD001110,C00532,2025-08-31,Net 30,2025-09-30,295.91,2025-10-03
INV00224,ORD001120,C01000,2026-01-25,Net 30,2026-02-24,29.49,2026-03-11
INV00225,ORD001125,C00960,2026-05-11,Net 30,2026-06-10,98.12,2026-06-17
INV00226,ORD001128,C01008,2025-12-09,Net 60,2026-02-07,89.56,2026-02-12
INV00227,ORD001134,C00209,2025-10-23,Net 30,2025-11-22,95.68,2025-11-18
INV00228,ORD001139,C00864,2025-09-10,Net 30,2025-10-10,167.16,2025-10-13
INV00229,ORD001145,C00301,2025-10-08,Net 60,2025-12-07,255.68,2025-12-04
INV00230,ORD001148,C00698,2026-01-30,Net 30,2026-03-01,101.13,2026-02-22
INV00231,ORD001156,C00825,2025-09-03,Net 30,2025-10-03,465.72,2025-10-11
INV00232,ORD001161,C00594,2025-12-13,Net 60,2026-02-11,54.78,2026-02-25
INV00233,ORD001166,C00635,2026-02-18,Net 30,2026-03-20,366.18,2026-03-28
INV00234,ORD001168,C00839,2025-11-09,Net 30,2025-12-09,212.05,2025-12-11
INV00235,ORD001170,C00175,2025-08-16,Net 30,2025-09-15,56.14,2025-09-07
INV00236,ORD001171,C01069,2026-02-25,Net 30,2026-03-27,49.53,2026-03-27
INV00237,ORD001175,C00650,2026-03-30,Net 60,2026-05-29,45.18,2026-06-08
INV00238,ORD001176,C00345,2026-06-28,Net 30,2026-07-28,62.08,
INV00239,ORD001192,C01002,2026-06-25,Net 30,2026-07-25,63.77,
INV00240,ORD001197,C00429,2025-12-28,Net 60,2026-02-26,103.56,2026-03-08
INV00241,ORD001211,C00107,2025-09-10,Net 60,2025-11-09,294.72,2025-11-24
INV00242,ORD001215,C00397,2026-03-18,Net 30,2026-04-17,478.01,2026-04-24
INV00243,ORD001221,C01160,2026-02-13,Net 30,2026-03-15,235.59,2026-03-22
INV00244,ORD001239,C00075,2026-03-25,Net 30,2026-04-24,99.88,2026-04-18
INV00245,ORD001241,C00322,2025-11-05,Net 60,2026-01-04,59.45,2026-01-18
INV00246,ORD001255,C00066,2026-01-24,Net 60,2026-03-25,66.63,2026-04-01
INV00247,ORD001256,C01176,2025-11-16,Net 30,2025-12-16,98.97,2025-12-30
INV00248,ORD001257,C00792,2025-08-07,Net 30,2025-09-06,49.53,2025-09-05
INV00249,ORD001259,C00364,2025-11-14,Net 30,2025-12-14,140.92,2025-12-29
INV00250,ORD001264,C00857,2026-01-18,Net 30,2026-02-17,99.24,2026-02-17
INV00251,ORD001266,C00416,2026-04-18,Net 30,2026-05-18,199.99,2026-05-31
INV00252,ORD001268,C00081,2026-07-19,Net 30,2026-08-18,274.8,
INV00253,ORD001269,C00359,2025-11-05,Net 60,2026-01-04,252,2026-01-04
INV00254,ORD001272,C00249,2026-03-25,Net 30,2026-04-24,124.67,
INV00255,ORD001274,C00092,2026-04-08,Net 30,2026-05-08,130.42,2026-05-02
INV00256,ORD001279,C00206,2025-09-08,Net 60,2025-11-07,24.53,2025-11-12
INV00257,ORD001280,C00801,2026-02-22,Net 60,2026-04-23,19.58,
INV00258,ORD001282,C00443,2026-04-03,Net 30,2026-05-03,155.7,2026-04-29
INV00259,ORD001292,C01024,2025-11-22,Net 60,2026-01-21,88.38,2026-01-13
INV00260,ORD001295,C00028,2026-06-11,Net 60,2026-08-10,16.74,
INV00261,ORD001319,C00165,2025-10-31,Net 30,2025-11-30,195.54,2025-12-05
INV00262,ORD001320,C01092,2025-08-05,Net 60,2025-10-04,243.43,2025-10-02
INV00263,ORD001325,C00226,2026-06-25,Net 30,2026-07-25,155.78,2026-07-25
INV00264,ORD001330,C00086,2026-04-13,Net 60,2026-06-12,10.46,2026-06-17
INV00265,ORD001333,C00118,2026-03-06,Net 30,2026-04-05,137.57,2026-04-11
INV00266,ORD001335,C00573,2026-05-18,Net 30,2026-06-17,351.2,2026-06-25
INV00267,ORD001347,C00386,2026-03-29,Net 30,2026-04-28,250,2026-05-13
INV00268,ORD001351,C00581,2026-01-24,Net 30,2026-02-23,163.65,2026-02-15
INV00269,ORD001362,C00889,2026-04-21,Net 30,2026-05-21,29.66,2026-05-18
INV00270,ORD001367,C00371,2026-06-06,Net 60,2026-08-05,228.36,
INV00271,ORD001372,C00423,2025-08-29,Net 30,2025-09-28,210.85,2025-09-20
INV00272,ORD001375,C00912,2025-11-28,Net 60,2026-01-27,120.76,
INV00273,ORD001379,C00865,2026-06-26,Net 30,2026-07-26,146.55,
INV00274,ORD001384,C00834,2026-06-28,Net 60,2026-08-27,12.29,
INV00275,ORD001388,C00556,2025-08-16,Net 30,2025-09-15,145,2025-09-24
INV00276,ORD001390,C00319,2026-02-12,Net 30,2026-03-14,298.26,2026-03-22
INV00277,ORD001395,C01010,2026-03-25,Net 30,2026-04-24,99.84,2026-05-03
INV00278,ORD001408,C00552,2026-01-30,Net 30,2026-03-01,169.92,2026-03-05
INV00279,ORD001418,C00372,2026-02-24,Net 30,2026-03-26,92.52,2026-03-21
INV00280,ORD001421,C00409,2025-12-31,Net 30,2026-01-30,117.96,2026-02-01
INV00281,ORD001433,C00712,2026-07-23,Net 30,2026-08-22,92.4,
INV00282,ORD001439,C00933,2026-01-03,Net 60,2026-03-04,186,2026-03-01
INV00283,ORD001440,C00244,2026-06-15,Net 30,2026-07-15,49.94,2026-07-20
INV00284,ORD001441,C00488,2026-01-29,Net 60,2026-03-30,240.6,2026-04-01
INV00285,ORD001443,C00756,2025-10-28,Net 30,2025-11-27,296.22,2025-11-29
INV00286,ORD001444,C00604,2026-01-19,Net 30,2026-02-18,106.75,2026-02-14
INV00287,ORD001446,C01129,2025-09-20,Net 30,2025-10-20,84.96,2025-10-30
INV00288,ORD001459,C00548,2026-05-28,Net 60,2026-07-27,155.76,2026-07-23
INV00289,ORD001475,C00863,2026-04-08,Net 60,2026-06-07,20.92,2026-06-18
INV00290,ORD001480,C00853,2026-02-20,Net 30,2026-03-22,190.8,2026-03-29
INV00291,ORD001483,C00356,2025-12-02,Net 30,2026-01-01,154.33,2026-01-02
INV00292,ORD001484,C01028,2026-02-25,Net 30,2026-03-27,229.01,2026-04-06
INV00293,ORD001491,C00414,2026-06-28,Net 30,2026-07-28,205.04,
INV00294,ORD001492,C00991,2025-10-07,Net 30,2025-11-06,88.47,2025-11-15
INV00295,ORD001520,C00797,2025-12-01,Net 30,2025-12-31,97.7,2026-01-15
INV00296,ORD001524,C00341,2026-06-19,Net 30,2026-07-19,187.29,2026-07-25
INV00297,ORD001526,C00256,2025-09-02,Net 60,2025-11-01,399.37,2025-11-15
INV00298,ORD001527,C00873,2026-02-15,Net 60,2026-04-16,352.85,2026-04-17
INV00299,ORD001529,C00204,2026-01-19,Net 60,2026-03-20,31.61,2026-03-22
INV00300,ORD001532,C00781,2025-09-19,Net 30,2025-10-19,103.56,
INV00301,ORD001541,C00314,2025-12-04,Net 30,2026-01-03,56.14,2025-12-27
INV00302,ORD001542,C00784,2026-03-25,Net 60,2026-05-24,167.16,2026-05-29
INV00303,ORD001546,C00212,2025-08-26,Net 30,2025-09-25,28.42,2025-09-23
INV00304,ORD001552,C01120,2026-02-18,Net 30,2026-03-20,29.25,2026-03-15
INV00305,ORD001561,C00519,2026-02-21,Net 30,2026-03-23,187.69,2026-04-06
INV00306,ORD001566,C00864,2026-03-28,Net 30,2026-04-27,230.85,2026-05-04
INV00307,ORD001570,C00010,2025-10-22,Net 60,2025-12-21,63.89,2025-12-29
INV00308,ORD001571,C01081,2026-05-12,Net 60,2026-07-11,12.29,2026-07-11
INV00309,ORD001578,C00011,2026-06-29,Net 30,2026-07-29,231.49,
INV00310,ORD001581,C00847,2025-09-28,Net 60,2025-11-27,218.02,2025-11-26
INV00311,ORD001593,C00883,2026-01-09,Net 30,2026-02-08,167.4,2026-02-13
INV00312,ORD001595,C00566,2025-10-28,Net 30,2025-11-27,282.09,2025-11-20
INV00313,ORD001608,C00043,2026-03-23,Net 30,2026-04-22,44.78,2026-04-19
INV00314,ORD001611,C00359,2026-02-04,Net 30,2026-03-06,175.21,2026-03-20
INV00315,ORD001613,C00252,2026-03-09,Net 30,2026-04-08,109.79,
INV00316,ORD001624,C00376,2026-06-03,Net 60,2026-08-02,217.08,
INV00317,ORD001635,C00199,2025-11-19,Net 30,2025-12-19,10.46,2025-12-16
