order_id,order_date,channel,customer_id
ORD000087,2025-08-15,TikTok Shop,C00473
ORD000088,2025-10-21,Amazon,C01098
ORD000089,2026-06-09,Amazon,C00398
ORD000090,2025-08-06,Amazon,C01094
ORD000091,2026-06-02,Amazon,C01134
ORD000092,2025-11-24,Wholesale,C00583
ORD000093,2025-12-27,Amazon,C00518
ORD000094,2025-11-05,Amazon,C01182
ORD000095,2025-08-19,Amazon,C01143
ORD000096,2025-10-14,Walmart,C00907
ORD000097,2026-07-14,Wholesale,C00204
ORD000098,2026-03-02,Amazon,C00322
ORD000099,2026-06-30,Shopify,C00006
ORD000100,2026-04-29,Shopify,C00591
ORD000101,2025-11-24,Walmart,C00236
ORD000102,2025-10-15,Shopify,C00630
ORD000103,2026-04-05,Walmart,C00558
ORD000104,2026-02-03,Walmart,C00661
ORD000105,2025-12-25,TikTok Shop,C01181
ORD000106,2026-07-03,Wholesale,C00906
ORD000107,2026-07-15,Walmart,C00713
ORD000108,2026-03-31,TikTok Shop,C00844
ORD000109,2026-01-19,TikTok Shop,C00517
ORD000110,2025-09-18,Wholesale,C00947
ORD000111,2025-11-04,Wholesale,C01021
ORD000112,2025-09-17,TikTok Shop,C00898
ORD000113,2025-10-28,Wholesale,C00029
ORD000114,2026-05-10,Shopify,C01021
ORD000115,2026-02-28,Walmart,C01129
ORD000116,2026-02-19,Wholesale,C01041
ORD000117,2025-11-04,Amazon,C00580
ORD000118,2026-05-11,TikTok Shop,C00681
ORD000119,2026-03-09,Wholesale,C00785
ORD000120,2026-01-07,TikTok Shop,C00969
ORD000121,2026-07-08,Wholesale,C00680
ORD000122,2026-03-08,Wholesale,C00936
ORD000123,2025-12-27,Shopify,C00154
ORD000124,2025-12-12,Amazon,C00673
ORD000125,2025-10-18,Wholesale,C00141
ORD000126,2025-09-16,Amazon,C00889
ORD000127,2026-02-07,Shopify,C00614
ORD000128,2026-02-01,Amazon,C00601
ORD000129,2025-08-29,Wholesale,C00844
ORD000130,2026-05-14,Wholesale,C00494
ORD000131,2025-08-12,TikTok Shop,C00942
ORD000132,2026-06-24,Amazon,C00905
ORD000133,2025-09-05,Walmart,C00619
ORD000134,2025-09-22,Amazon,C00486
ORD000135,2026-03-25,TikTok Shop,C00045
ORD000136,2025-09-25,TikTok Shop,C00472
ORD000137,2026-05-28,Amazon,C00633
ORD000138,2026-04-15,TikTok Shop,C00670
ORD000139,2026-01-04,Wholesale,C01028
ORD000140,2026-03-13,TikTok Shop,C00236
ORD000141,2025-08-18,Wholesale,C00750
ORD000142,2025-12-21,TikTok Shop,C01099
ORD000143,2025-12-20,TikTok Shop,C01198
ORD000144,2026-03-13,Amazon,C01150
ORD000145,2026-01-22,TikTok Shop,C00837
ORD000146,2026-02-15,Amazon,C00624
ORD000147,2025-10-30,Walmart,C00930
ORD000148,2026-02-24,Walmart,C00203
ORD000149,2026-06-24,TikTok Shop,C00445
ORD000150,2025-07-29,TikTok Shop,C01116
ORD000151,2026-04-15,Walmart,C00188
ORD000152,2026-04-30,Wholesale,C00421
ORD000153,2025-09-07,Wholesale,C00443
ORD000154,2026-04-15,Wholesale,C00006
ORD000155,2026-07-03,Shopify,C00226
ORD000156,2026-02-18,Amazon,C00357
ORD000157,2026-05-12,Amazon,C00976
ORD000158,2025-11-05,Wholesale,C00089
ORD000159,2026-05-19,Walmart,C00874
ORD000160,2026-03-30,Wholesale,C00304
ORD000161,2025-12-04,Wholesale,C01199
ORD000162,2025-09-06,Amazon,C00235
ORD000163,2025-11-15,TikTok Shop,C00929
ORD000164,2026-01-09,TikTok Shop,C00523
ORD000165,2025-09-24,Amazon,C00191
ORD000166,2026-01-17,Wholesale,C01151
ORD000167,2025-07-26,TikTok Shop,C00640
ORD000168,2026-05-01,Shopify,C00222
ORD000169,2026-06-30,Wholesale,C00464
ORD000170,2026-04-30,Amazon,C00370
ORD000171,2025-11-04,Shopify,C00294
ORD000172,2026-02-04,Walmart,C00860
ORD000173,2026-05-16,TikTok Shop,C01163
ORD000174,2025-10-02,Amazon,C00558
ORD000175,2026-02-07,Walmart,C00560
ORD000176,2026-07-14,TikTok Shop,C00881
ORD000177,2025-09-04,Wholesale,C00632
ORD000178,2026-06-28,Wholesale,C00113
ORD000179,2026-03-24,Shopify,C00282
ORD000180,2025-11-17,Walmart,C00882
ORD000181,2026-06-16,Wholesale,C00472
ORD000182,2026-03-30,Amazon,C00942
ORD000183,2026-02-07,Wholesale,C00829
ORD000184,2026-03-18,Shopify,C00943
ORD000185,2025-10-10,Wholesale,C00821
ORD000186,2025-09-22,Shopify,C00157
ORD000187,2025-12-17,Amazon,C00300
ORD000188,2026-05-17,Amazon,C00363
ORD000189,2025-09-25,TikTok Shop,C00310
ORD000190,2026-02-19,TikTok Shop,C00116
ORD000191,2026-05-23,Walmart,C00078
ORD000192,2026-07-18,Amazon,C00185
ORD000193,2026-02-15,TikTok Shop,C00975
ORD000194,2026-07-16,Wholesale,C00354
ORD000195,2025-07-25,Walmart,C01074
ORD000196,2026-03-14,Walmart,C00693
ORD000197,2025-11-27,Wholesale,C00792
ORD000198,2026-01-30,Wholesale,C00290
ORD000199,2025-08-01,TikTok Shop,C01145
ORD000200,2025-09-06,Walmart,C01042
ORD000201,2026-07-20,Shopify,C00700
ORD000202,2025-12-12,Amazon,C00606
ORD000203,2026-07-01,TikTok Shop,C00269
ORD000204,2026-06-12,Walmart,C00090
ORD000205,2026-06-03,Walmart,C00480
ORD000206,2025-11-21,Walmart,C00578
ORD000207,2025-10-25,Wholesale,C00284
ORD000208,2025-08-16,Wholesale,C00256
ORD000209,2025-10-26,Wholesale,C00302
ORD000210,2026-06-30,Amazon,C00850
ORD000211,2026-03-02,Shopify,C00791
ORD000212,2025-08-24,Amazon,C00653
ORD000213,2025-08-27,Shopify,C00079
ORD000214,2026-05-05,Wholesale,C00011
ORD000215,2026-01-29,Shopify,C00307
ORD000216,2026-06-06,Amazon,C00098
ORD000217,2025-08-20,Amazon,C00228
ORD000218,2026-05-16,Shopify,C00597
ORD000219,2026-02-16,Shopify,C00176
ORD000220,2026-05-18,Amazon,C00793
ORD000221,2025-09-11,TikTok Shop,C00494
ORD000222,2025-09-12,Shopify,C00952
ORD000223,2026-04-07,TikTok Shop,C00413
ORD000224,2026-01-25,TikTok Shop,C00636
ORD000225,2026-02-23,TikTok Shop,C00098
ORD000226,2025-09-27,Walmart,C00792
ORD000227,2025-11-04,Wholesale,C00547
ORD000228,2026-02-14,Walmart,C00370
ORD000229,2026-06-28,TikTok Shop,C00914
ORD000230,2026-03-17,TikTok Shop,C00891
ORD000231,2026-01-05,Wholesale,C00328
ORD000232,2025-10-15,Amazon,C00259
ORD000233,2026-07-20,TikTok Shop,C00785
ORD000234,2026-02-19,Amazon,C01176
ORD000235,2026-05-14,Walmart,C00644
ORD000236,2026-05-04,Wholesale,C00793
ORD000237,2026-04-18,Walmart,C00410
ORD000238,2025-10-11,Walmart,C00354
ORD000239,2026-04-27,TikTok Shop,C00323
ORD000240,2025-11-23,Shopify,C00485
ORD000241,2025-12-26,Walmart,C01130
ORD000242,2026-04-11,Amazon,C00634
ORD000243,2026-04-03,Shopify,C00650
ORD000244,2025-12-17,Shopify,C00887
ORD000245,2026-01-11,Shopify,C00661
ORD000246,2026-07-09,Shopify,C01129
ORD000247,2026-02-11,Wholesale,C00346
ORD000248,2026-01-16,Amazon,C00167
ORD000249,2025-09-09,Shopify,C01172
ORD000250,2025-10-29,TikTok Shop,C00990
ORD000251,2025-10-20,Walmart,C00150
ORD000252,2025-08-18,Shopify,C00697
ORD000253,2025-12-03,TikTok Shop,C01055
ORD000254,2025-08-02,Walmart,C00508
ORD000255,2026-03-10,TikTok Shop,C00787
ORD000256,2026-02-25,Shopify,C00327
ORD000257,2025-10-22,Walmart,C00048
ORD000258,2026-03-10,Shopify,C00441
ORD000259,2025-10-18,TikTok Shop,C01100
ORD000260,2025-07-27,Shopify,C00542
ORD000261,2025-08-21,Wholesale,C01151
ORD000262,2026-04-25,Amazon,C00792
ORD000263,2026-03-27,Walmart,C00765
ORD000264,2025-08-16,Wholesale,C01043
ORD000265,2025-10-21,Shopify,C00683
ORD000266,2025-08-20,TikTok Shop,C00653
ORD000267,2026-07-11,Wholesale,C00689
ORD000268,2025-08-06,TikTok Shop,C00679
ORD000269,2026-06-23,TikTok Shop,C01185
ORD000270,2025-11-30,Shopify,C00497
ORD000271,2025-08-21,Shopify,C00039
ORD000272,2026-02-09,Shopify,C00841
ORD000273,2025-10-25,Wholesale,C00666
ORD000274,2025-11-10,Wholesale,C00726
ORD000275,2026-04-10,Shopify,C00610
ORD000276,2026-01-29,TikTok Shop,C01148
ORD000277,2025-10-16,Shopify,C00595
ORD000278,2026-02-19,TikTok Shop,C00906
ORD000279,2025-09-14,Wholesale,C00557
ORD000280,2026-05-01,Shopify,C00104
ORD000281,2026-07-23,TikTok Shop,C00968
ORD000282,2026-07-02,Wholesale,C00324
ORD000283,2026-03-03,TikTok Shop,C00585
ORD000284,2026-03-05,Shopify,C00856
ORD000285,2026-01-24,Walmart,C00382
ORD000286,2025-10-27,TikTok Shop,C00583
ORD000287,2026-05-25,TikTok Shop,C00395
ORD000288,2026-01-24,Walmart,C00527
ORD000289,2026-06-03,Shopify,C00831
ORD000290,2025-12-30,Amazon,C00379
ORD000291,2025-10-06,Shopify,C00014
ORD000292,2025-08-30,TikTok Shop,C00619
ORD000293,2025-08-31,Amazon,C00954
ORD000294,2026-04-06,Amazon,C00605
ORD000295,2026-01-08,Walmart,C00314
ORD000296,2025-12-09,Wholesale,C00448
ORD000297,2026-01-05,Wholesale,C00915
ORD000298,2025-12-31,Wholesale,C01100
ORD000299,2026-01-22,Wholesale,C00905
ORD000300,2026-06-25,Amazon,C01046
ORD000301,2026-05-04,Walmart,C01155
ORD000302,2025-08-15,TikTok Shop,C00045
ORD000303,2026-04-12,Amazon,C00868
ORD000304,2026-04-04,Amazon,C00588
ORD000305,2026-04-01,Walmart,C00919
ORD000306,2025-09-01,TikTok Shop,C00243
ORD000307,2025-08-17,Wholesale,C00261
ORD000308,2025-12-28,Wholesale,C00777
ORD000309,2026-05-03,TikTok Shop,C00318
ORD000310,2025-12-03,Wholesale,C00033
ORD000311,2026-05-31,Amazon,C00069
ORD000312,2026-06-24,Walmart,C00899
ORD000313,2025-09-05,Amazon,C00287
ORD000314,2025-10-29,Shopify,C00619
ORD000315,2025-10-07,Walmart,C00616
ORD000316,2025-10-06,Amazon,C00706
ORD000317,2026-02-18,Walmart,C00377
ORD000318,2026-01-15,Amazon,C01152
ORD000319,2025-09-17,TikTok Shop,C00417
ORD000320,2026-01-04,Wholesale,C00391
ORD000321,2025-10-04,Wholesale,C00081
ORD000322,2025-11-10,Walmart,C00428
ORD000323,2026-01-20,Amazon,C00981
ORD000324,2025-10-30,Walmart,C00491
ORD000325,2026-06-29,TikTok Shop,C00536
ORD000326,2026-07-18,Walmart,C00656
ORD000327,2025-08-23,Walmart,C00094
ORD000328,2026-01-13,TikTok Shop,C00313
ORD000329,2026-06-03,Walmart,C01167
ORD000330,2026-06-24,TikTok Shop,C01001
ORD000331,2026-06-22,Wholesale,C01001
ORD000332,2026-02-23,Wholesale,C00070
ORD000333,2025-09-01,Walmart,C00282
ORD000334,2025-08-13,TikTok Shop,C00124
ORD000335,2026-04-04,Amazon,C00035
ORD000336,2026-02-19,Amazon,C01074
ORD000337,2026-06-14,Wholesale,C01079
ORD000338,2025-07-30,TikTok Shop,C00832
ORD000339,2025-08-30,Amazon,C00065
ORD000340,2026-07-19,Walmart,C01132
ORD000341,2026-05-13,Walmart,C00889
ORD000342,2026-06-19,Wholesale,C00974
ORD000343,2025-10-24,Shopify,C00645
ORD000344,2025-09-27,Walmart,C00158
ORD000345,2025-12-29,Wholesale,C00680
ORD000346,2026-01-29,Amazon,C00201
ORD000347,2026-01-27,TikTok Shop,C00061
ORD000348,2025-10-16,Walmart,C00381
ORD000349,2026-06-25,Amazon,C00549
ORD000350,2025-12-27,Walmart,C00649
ORD000351,2026-07-10,Walmart,C00738
ORD000352,2025-08-16,Walmart,C00920
ORD000353,2025-09-26,Wholesale,C00191
ORD000354,2025-12-19,Walmart,C00174
ORD000355,2025-07-25,Shopify,C00551
ORD000356,2025-12-23,Shopify,C00891
ORD000357,2025-11-04,TikTok Shop,C00516
ORD000358,2026-07-19,Walmart,C00220
ORD000359,2026-05-25,Walmart,C00681
ORD000360,2026-05-25,TikTok Shop,C00657
ORD000361,2026-01-17,TikTok Shop,C01006
ORD000362,2025-11-12,Amazon,C01155
ORD000363,2026-01-05,Wholesale,C00056
ORD000364,2026-04-21,Walmart,C00286
ORD000365,2026-05-04,Amazon,C00920
ORD000366,2026-05-25,TikTok Shop,C01100
ORD000367,2026-02-25,Wholesale,C00819
ORD000368,2026-04-08,TikTok Shop,C00455
ORD000369,2026-04-30,Wholesale,C01025
ORD000370,2026-01-30,Walmart,C00215
ORD000371,2025-09-23,TikTok Shop,C00639
ORD000372,2025-10-06,TikTok Shop,C00976
ORD000373,2025-11-17,TikTok Shop,C00138
ORD000374,2025-10-17,Amazon,C00337
ORD000375,2025-08-16,Walmart,C00475
ORD000376,2026-03-06,Amazon,C00405
ORD000377,2026-05-06,Shopify,C00422
ORD000378,2026-02-20,TikTok Shop,C00668
ORD000379,2025-08-17,TikTok Shop,C01003
ORD000380,2026-05-11,TikTok Shop,C00721
ORD000381,2025-11-23,Shopify,C00642
ORD000382,2025-08-16,Amazon,C00375
ORD000383,2025-08-13,Wholesale,C00786
ORD000384,2026-03-08,Wholesale,C00342
ORD000385,2026-01-26,Walmart,C00110
ORD000386,2026-02-05,Walmart,C01151
ORD000387,2026-07-17,Shopify,C00170
ORD000388,2026-06-21,Wholesale,C00592
ORD000389,2026-02-16,Wholesale,C01047
ORD000390,2025-09-24,TikTok Shop,C01113
ORD000391,2025-08-16,Walmart,C00210
ORD000392,2026-02-07,Amazon,C00900
ORD000393,2025-08-25,Wholesale,C00719
ORD000394,2026-06-20,Amazon,C01168
ORD000395,2025-10-05,TikTok Shop,C00600
ORD000396,2025-08-20,Shopify,C00843
ORD000397,2026-03-13,Shopify,C00512
ORD000398,2025-08-20,Walmart,C01003
ORD000399,2026-04-13,Walmart,C00769
ORD000400,2026-06-24,TikTok Shop,C00932
ORD000401,2025-10-24,TikTok Shop,C00130
ORD000402,2025-12-28,TikTok Shop,C00581
ORD000403,2025-09-09,TikTok Shop,C00100
ORD000404,2026-07-25,Amazon,C00255
ORD000405,2026-07-05,Amazon,C00877
ORD000406,2026-03-03,Shopify,C00562
ORD000407,2025-10-28,Amazon,C00762
ORD000408,2026-03-06,Amazon,C00195
ORD000409,2026-03-12,Amazon,C00272
ORD000410,2025-08-09,Walmart,C00271
ORD000411,2026-03-22,Amazon,C00212
ORD000412,2025-08-25,Shopify,C00293
ORD000413,2026-01-03,Wholesale,C00337
ORD000414,2026-04-06,Wholesale,C00907
ORD000415,2026-03-08,Shopify,C00253
ORD000416,2026-03-01,TikTok Shop,C00173
ORD000417,2026-02-13,Amazon,C00618
ORD000418,2025-11-24,Walmart,C00606
ORD000419,2026-07-23,Walmart,C00146
ORD000420,2025-11-03,TikTok Shop,C01119
ORD000421,2025-10-12,Amazon,C00537
ORD000422,2026-04-11,Walmart,C01038
ORD000423,2026-04-29,Amazon,C01099
ORD000424,2025-11-24,Wholesale,C00417
ORD000425,2025-10-25,Walmart,C00136
ORD000426,2025-11-05,Amazon,C00890
ORD000427,2025-12-25,TikTok Shop,C00360
ORD000428,2025-09-13,Amazon,C00336
ORD000429,2026-04-11,Shopify,C00551
ORD000430,2026-04-01,TikTok Shop,C01181
ORD000431,2025-11-18,Wholesale,C00342
ORD000432,2026-01-18,Shopify,C01043
ORD000433,2025-11-24,Shopify,C00095
ORD000434,2026-07-20,Amazon,C01133
ORD000435,2026-05-12,TikTok Shop,C00160
ORD000436,2026-07-23,Wholesale,C00095
ORD000437,2025-08-22,TikTok Shop,C00177
ORD000438,2025-07-28,Wholesale,C00497
ORD000439,2026-01-18,Shopify,C00014
ORD000440,2026-03-23,Amazon,C00687
ORD000441,2026-02-28,Amazon,C00421
ORD000442,2025-09-01,Amazon,C00090
ORD000443,2025-08-22,TikTok Shop,C00939
ORD000444,2026-02-18,Wholesale,C01163
ORD000445,2025-10-15,Shopify,C00598
ORD000446,2026-02-06,Walmart,C00557
ORD000447,2025-11-04,Shopify,C01198
ORD000448,2025-09-14,Shopify,C00921
ORD000449,2026-07-22,Shopify,C00926
ORD000450,2025-12-07,Shopify,C00624
ORD000451,2026-07-02,Shopify,C00729
ORD000452,2025-08-20,Shopify,C00064
ORD000453,2026-07-01,Amazon,C00287
ORD000454,2025-10-27,Shopify,C00268
ORD000455,2025-12-15,Amazon,C01193
ORD000456,2025-11-12,Shopify,C00189
ORD000457,2025-09-24,Shopify,C01176
ORD000458,2026-01-11,Walmart,C00354
ORD000459,2026-06-13,Walmart,C00305
ORD000460,2026-02-20,TikTok Shop,C01022
ORD000461,2026-04-24,TikTok Shop,C00785
ORD000462,2025-11-19,Wholesale,C00511
ORD000463,2026-03-19,TikTok Shop,C01159
ORD000464,2026-06-03,Wholesale,C00449
ORD000465,2026-04-04,Walmart,C01085
ORD000466,2026-02-15,Shopify,C00494
ORD000467,2025-07-28,TikTok Shop,C00356
ORD000468,2026-04-10,TikTok Shop,C00058
ORD000469,2026-06-07,Shopify,C01005
ORD000470,2026-02-25,Shopify,C00449
ORD000471,2025-11-18,Amazon,C00680
ORD000472,2026-07-21,Amazon,C00303
ORD000473,2026-04-08,Walmart,C00207
ORD000474,2025-09-03,Walmart,C00998
ORD000475,2026-07-24,Walmart,C00629
ORD000476,2026-07-01,Wholesale,C00067
ORD000477,2025-09-15,Wholesale,C00453
ORD000478,2025-11-04,Shopify,C00711
ORD000479,2025-09-07,Amazon,C00544
ORD000480,2026-07-05,TikTok Shop,C00526
ORD000481,2025-09-04,Walmart,C00898
ORD000482,2026-05-09,Wholesale,C00769
ORD000483,2026-02-24,Shopify,C00925
ORD000484,2025-09-23,Amazon,C00653
ORD000485,2025-11-07,Walmart,C00330
ORD000486,2025-11-11,Shopify,C00890
ORD000487,2026-03-16,TikTok Shop,C00421
ORD000488,2025-10-14,TikTok Shop,C00610
ORD000489,2026-04-29,Walmart,C01171
ORD000490,2025-12-05,Amazon,C00604
ORD000491,2025-10-12,Shopify,C00598
ORD000492,2026-04-17,TikTok Shop,C00815
ORD000493,2026-03-28,Shopify,C00760
ORD000494,2026-06-21,TikTok Shop,C00901
ORD000495,2025-11-04,Shopify,C00199
ORD000496,2026-02-06,Wholesale,C00466
ORD000497,2026-01-30,Wholesale,C00483
ORD000498,2025-10-30,Wholesale,C01170
ORD000499,2026-07-11,Shopify,C00395
ORD000500,2026-07-12,Amazon,C00892
ORD000501,2026-06-18,TikTok Shop,C00138
ORD000502,2025-08-13,Wholesale,C00668
ORD000503,2025-08-29,Amazon,C00849
ORD000504,2026-03-28,Amazon,C01153
ORD000505,2026-01-05,Walmart,C00541
ORD000506,2026-06-12,TikTok Shop,C00826
ORD000507,2025-11-09,Amazon,C00811
ORD000508,2025-08-11,TikTok Shop,C00042
ORD000509,2025-07-26,Amazon,C00467
ORD000510,2025-12-01,TikTok Shop,C00552
ORD000511,2026-05-20,Walmart,C01058
ORD000512,2025-09-13,Wholesale,C00827
ORD000513,2026-03-29,Shopify,C00395
ORD000514,2025-11-03,Amazon,C00935
ORD000515,2025-09-25,TikTok Shop,C00755
ORD000516,2026-05-08,Shopify,C00763
ORD000517,2026-01-12,Wholesale,C01130
ORD000518,2026-02-24,TikTok Shop,C00057
ORD000519,2026-04-25,Shopify,C00462
ORD000520,2026-01-07,Shopify,C00355
ORD000521,2026-02-27,Walmart,C00715
ORD000522,2025-07-28,Wholesale,C00814
ORD000523,2025-09-06,TikTok Shop,C00222
ORD000524,2025-08-23,TikTok Shop,C00535
ORD000525,2026-07-02,TikTok Shop,C00287
ORD000526,2026-04-19,Walmart,C00073
ORD000527,2026-07-11,TikTok Shop,C01039
ORD000528,2025-09-20,Walmart,C00263
ORD000529,2026-02-21,Shopify,C00629
ORD000530,2025-08-07,Walmart,C00242
ORD000531,2026-06-14,Wholesale,C00246
ORD000532,2025-12-15,Shopify,C00702
ORD000533,2026-03-08,Shopify,C00166
ORD000534,2026-02-24,Amazon,C00926
ORD000535,2025-09-20,Walmart,C00181
ORD000536,2026-01-07,Walmart,C00827
ORD000537,2025-09-12,Wholesale,C00409
ORD000538,2025-08-10,Shopify,C00464
ORD000539,2025-11-21,Shopify,C00134
ORD000540,2025-12-13,Walmart,C01066
ORD000541,2026-07-09,TikTok Shop,C00386
ORD000542,2026-07-22,Shopify,C00460
ORD000543,2026-05-30,Amazon,C00769
ORD000544,2026-06-24,Amazon,C00238
ORD000545,2025-08-09,Walmart,C00314
ORD000546,2026-07-09,Walmart,C00207
ORD000547,2025-12-10,Wholesale,C00242
ORD000548,2025-10-14,Wholesale,C00410
ORD000549,2026-04-15,TikTok Shop,C00329
ORD000550,2025-10-29,Shopify,C00985
ORD000551,2026-04-10,Amazon,C01176
ORD000552,2025-09-02,Shopify,C00936
ORD000553,2025-12-09,Shopify,C00081
ORD000554,2026-05-23,Amazon,C00094
ORD000555,2026-02-27,TikTok Shop,C00733
ORD000556,2026-07-03,TikTok Shop,C00375
ORD000557,2026-06-29,Walmart,C00557
ORD000558,2025-12-29,Shopify,C00121
ORD000559,2026-03-23,Wholesale,C00989
ORD000560,2026-05-12,Shopify,C00990
ORD000561,2025-09-23,Amazon,C00536
ORD000562,2026-07-19,Walmart,C00510
ORD000563,2026-07-21,Amazon,C00322
ORD000564,2025-10-24,Shopify,C00678
ORD000565,2026-06-25,Walmart,C00482
ORD000566,2025-09-26,Wholesale,C00918
ORD000567,2026-05-31,TikTok Shop,C00244
ORD000568,2026-06-04,Amazon,C01142
ORD000569,2025-10-01,Walmart,C00699
ORD000570,2026-07-02,Wholesale,C00969
ORD000571,2026-01-01,TikTok Shop,C00728
ORD000572,2025-08-03,Shopify,C00839
ORD000573,2025-10-02,Shopify,C00248
ORD000574,2026-05-07,Amazon,C00849
ORD000575,2026-07-19,Walmart,C00937
ORD000576,2025-12-01,Wholesale,C00887
ORD000577,2026-05-24,Walmart,C00660
ORD000578,2026-07-21,TikTok Shop,C00603
ORD000579,2025-12-31,Wholesale,C00643
ORD000580,2026-06-01,TikTok Shop,C00272
ORD000581,2026-04-11,Wholesale,C01169
ORD000582,2026-06-25,Amazon,C00781
ORD000583,2026-05-06,Shopify,C00547
ORD000584,2026-06-04,Shopify,C00128
ORD000585,2025-10-29,Amazon,C01151
ORD000586,2025-11-05,Shopify,C01047
ORD000587,2025-09-24,Wholesale,C00111
ORD000588,2026-05-26,Wholesale,C00908
ORD000589,2026-04-23,Shopify,C00603
ORD000590,2025-09-04,Wholesale,C00245
ORD000591,2025-12-20,Shopify,C00330
ORD000592,2026-06-28,Shopify,C00661
ORD000593,2025-08-09,Wholesale,C00451
ORD000594,2026-06-23,Wholesale,C00327
ORD000595,2026-01-23,Shopify,C00437
ORD000596,2025-10-19,Wholesale,C00019
ORD000597,2025-10-10,Shopify,C00500
ORD000598,2026-06-07,Amazon,C00791
ORD000599,2026-07-16,Wholesale,C01042
ORD000600,2026-01-19,TikTok Shop,C01053
ORD000601,2025-12-07,Wholesale,C01093
ORD000602,2025-11-20,Shopify,C00869
ORD000603,2026-06-08,Amazon,C00315
ORD000604,2026-05-29,Amazon,C00180
ORD000605,2026-06-28,TikTok Shop,C01143
ORD000606,2025-10-21,TikTok Shop,C00835
ORD000607,2025-10-19,Amazon,C00798
ORD000608,2025-08-03,Amazon,C00733
ORD000609,2026-04-07,Walmart,C00810
