order_id,gateway,gross,processing_fee,platform_fee,net_payout,payout_date
ORD000065,Shopify Payments,14.83,0.73,0,14.1,2026-04-05
ORD000066,Amazon Marketplace,56.84,0,8.53,48.31,2025-09-05
ORD000067,Amazon Marketplace,140.46,0,21.07,119.39,2026-04-01
ORD000068,TikTok Payments,239.25,4.79,14.35,220.11,2026-04-06
ORD000069,Amazon Marketplace,77.26,0,11.59,65.67,2025-10-15
ORD000070,Amazon Marketplace,27.44,0,4.12,23.32,2026-03-03
ORD000071,Amazon Marketplace,167.16,0,25.07,142.09,2026-05-19
ORD000072,Amazon Marketplace,85.26,0,12.79,72.47,2025-11-11
ORD000073,TikTok Payments,96.09,1.92,5.77,88.4,2025-10-03
ORD000074,TikTok Payments,286.69,5.73,17.2,263.76,2026-01-29
ORD000075,Amazon Marketplace,219.94,0,32.99,186.95,2026-01-03
ORD000076,TikTok Payments,228.29,4.57,13.7,210.02,2025-11-15
ORD000077,TikTok Payments,456.5,9.13,27.39,419.98,2026-07-27
ORD000078,Walmart Marketplace,323.04,0,38.76,284.28,2026-04-15
ORD000079,Walmart Marketplace,133.05,0,15.97,117.08,2026-05-02
ORD000080,Walmart Marketplace,96.96,0,11.64,85.32,2026-03-12
ORD000081,TikTok Payments,246.1,4.92,14.77,226.41,2025-10-27
ORD000083,Walmart Marketplace,198.12,0,23.77,174.35,2025-12-13
ORD000084,Walmart Marketplace,49.06,0,5.89,43.17,2026-07-01
ORD000085,Walmart Marketplace,287.37,0,34.48,252.89,2026-06-04
ORD000086,Walmart Marketplace,351.77,0,42.21,309.56,2026-06-06
ORD000087,TikTok Payments,77.67,1.55,4.66,71.46,2025-08-22
ORD000088,Amazon Marketplace,334.49,0,50.17,284.32,2025-11-05
ORD000089,Amazon Marketplace,292.92,0,43.94,248.98,2026-06-23
ORD000090,Amazon Marketplace,65.75,0,9.86,55.89,2025-08-21
ORD000091,Amazon Marketplace,198.77,0,29.82,168.95,2026-06-18
ORD000093,Amazon Marketplace,86.84,0,13.03,73.81,2026-01-12
ORD000094,Amazon Marketplace,211.65,0,31.75,179.9,2025-11-20
ORD000095,Amazon Marketplace,180.02,0,27,153.02,2025-09-03
ORD000096,Walmart Marketplace,200.16,0,24.02,176.14,2025-10-30
ORD000098,Amazon Marketplace,47.7,0,7.16,40.54,2026-03-16
ORD000099,Shopify Payments,194.45,5.94,0,188.51,2026-07-03
ORD000100,Shopify Payments,172.6,5.31,0,167.29,2026-05-02
ORD000101,Walmart Marketplace,250.96,0,30.12,220.84,2025-12-09
ORD000102,Shopify Payments,218.31,6.63,0,211.68,2025-10-17
ORD000103,Walmart Marketplace,254.47,0,30.54,223.93,2026-04-21
ORD000104,Walmart Marketplace,133.89,0,16.07,117.82,2026-02-17
ORD000105,TikTok Payments,190.8,3.82,11.45,175.53,2026-01-01
ORD000107,Walmart Marketplace,100.09,0,12.01,88.08,2026-07-29
ORD000108,TikTok Payments,188.69,3.77,11.32,173.6,2026-04-09
ORD000109,TikTok Payments,145.11,2.9,8.71,133.5,2026-01-28
ORD000112,TikTok Payments,111.21,2.22,6.67,102.32,2025-09-25
ORD000114,Shopify Payments,262.21,7.9,0,254.31,2026-05-13
ORD000115,Walmart Marketplace,84.14,0,10.1,74.04,2026-03-16
ORD000117,Amazon Marketplace,326.08,0,48.91,277.17,2025-11-18
ORD000118,TikTok Payments,313.8,6.28,18.83,288.69,2026-05-19
ORD000120,TikTok Payments,366.22,7.32,21.97,336.93,2026-01-16
ORD000123,Shopify Payments,277.54,8.35,0,269.19,2025-12-30
ORD000124,Amazon Marketplace,331.35,0,49.7,281.65,2025-12-27
ORD000126,Amazon Marketplace,126.44,0,18.97,107.47,2025-09-30
ORD000127,Shopify Payments,163.65,5.05,0,158.6,2026-02-09
ORD000128,Amazon Marketplace,155.1,0,23.27,131.83,2026-02-16
ORD000131,TikTok Payments,174.34,3.49,10.46,160.39,2025-08-20
ORD000132,Amazon Marketplace,288.54,0,43.28,245.26,2026-07-09
ORD000133,Walmart Marketplace,168.28,0,20.19,148.09,2025-09-20
ORD000134,Amazon Marketplace,181.14,0,27.17,153.97,2025-10-07
ORD000135,TikTok Payments,216.73,4.33,13,199.4,2026-04-02
ORD000136,TikTok Payments,196.72,3.93,11.8,180.99,2025-10-03
ORD000137,Amazon Marketplace,205.44,0,30.82,174.62,2026-06-13
ORD000138,TikTok Payments,229.13,4.58,13.75,210.8,2026-04-22
ORD000140,TikTok Payments,238.92,4.78,14.34,219.8,2026-03-21
ORD000142,TikTok Payments,85.26,1.71,5.12,78.43,2025-12-28
ORD000143,TikTok Payments,227.43,4.55,13.65,209.23,2025-12-29
ORD000144,Amazon Marketplace,190.6,0,28.59,162.01,2026-03-29
ORD000145,TikTok Payments,41.79,0.84,2.51,38.44,2026-01-29
ORD000146,Amazon Marketplace,54.96,0,8.24,46.72,2026-03-03
ORD000147,Walmart Marketplace,269.28,0,32.31,236.97,2025-11-14
ORD000148,Walmart Marketplace,290.31,0,34.84,255.47,2026-03-10
ORD000149,TikTok Payments,112.63,2.25,6.76,103.62,2026-07-01
ORD000150,TikTok Payments,109.01,2.18,6.54,100.29,2025-08-05
ORD000151,Walmart Marketplace,126.37,0,15.16,111.21,2026-05-01
ORD000155,Shopify Payments,168.6,5.19,0,163.41,2026-07-06
ORD000156,Amazon Marketplace,81.37,0,12.21,69.16,2026-03-05
ORD000157,Amazon Marketplace,112.63,0,16.89,95.74,2026-05-27
ORD000159,Walmart Marketplace,297.98,0,35.76,262.22,2026-06-03
ORD000162,Amazon Marketplace,497.14,0,74.57,422.57,2025-09-20
ORD000163,TikTok Payments,132.79,2.66,7.97,122.16,2025-11-24
ORD000164,TikTok Payments,108.42,2.17,6.51,99.74,2026-01-16
ORD000165,Amazon Marketplace,136.62,0,20.49,116.13,2025-10-10
ORD000167,TikTok Payments,152.06,3.04,9.12,139.9,2025-08-03
ORD000168,Shopify Payments,229.11,6.94,0,222.17,2026-05-04
ORD000170,Amazon Marketplace,83.99,0,12.6,71.39,2026-05-16
ORD000171,Shopify Payments,123.08,3.87,0,119.21,2025-11-06
ORD000172,Walmart Marketplace,107.59,0,12.91,94.68,2026-02-19
ORD000173,TikTok Payments,143.58,2.87,8.61,132.1,2026-05-25
ORD000174,Amazon Marketplace,340.6,0,51.09,289.51,2025-10-18
ORD000175,Walmart Marketplace,35.03,0,4.2,30.83,2026-02-23
ORD000176,TikTok Payments,98.12,1.96,5.89,90.27,2026-07-21
ORD000179,Shopify Payments,101.11,3.23,0,97.88,2026-03-28
ORD000180,Walmart Marketplace,167.16,0,20.06,147.1,2025-12-01
ORD000182,Amazon Marketplace,110.4,0,16.56,93.84,2026-04-13
ORD000184,Shopify Payments,132.47,4.14,0,128.33,2026-03-21
ORD000186,Shopify Payments,215.35,6.55,0,208.8,2025-09-26
ORD000187,Amazon Marketplace,122.24,0,18.34,103.9,2026-01-01
ORD000188,Amazon Marketplace,405.25,0,60.79,344.46,2026-05-31
ORD000189,TikTok Payments,205.76,4.12,12.35,189.29,2025-10-04
ORD000190,TikTok Payments,95.51,1.91,5.73,87.87,2026-02-28
ORD000191,Walmart Marketplace,83.01,0,9.96,73.05,2026-06-08
ORD000192,Amazon Marketplace,254.3,0,38.14,216.16,2026-08-03
ORD000193,TikTok Payments,76.98,1.54,4.62,70.82,2026-02-24
ORD000195,Walmart Marketplace,293.41,0,35.21,258.2,2025-08-08
ORD000196,Walmart Marketplace,59.81,0,7.18,52.63,2026-03-29
ORD000199,TikTok Payments,51.97,1.04,3.12,47.81,2025-08-10
ORD000200,Walmart Marketplace,80.46,0,9.66,70.8,2025-09-22
ORD000201,Shopify Payments,135.36,4.23,0,131.13,2026-07-23
ORD000202,Amazon Marketplace,35.03,0,5.25,29.78,2025-12-27
ORD000203,TikTok Payments,215.92,4.32,12.96,198.64,2026-07-08
ORD000204,Walmart Marketplace,182.78,0,21.93,160.85,2026-06-26
ORD000205,Walmart Marketplace,250.9,0,30.11,220.79,2026-06-17
ORD000206,Walmart Marketplace,159.62,0,19.15,140.47,2025-12-07
ORD000210,Amazon Marketplace,44.49,0,6.67,37.82,2026-07-15
ORD000211,Shopify Payments,55.34,1.9,0,53.44,2026-03-05
ORD000212,Amazon Marketplace,24.58,0,3.69,20.89,2025-09-08
ORD000213,Shopify Payments,297.18,8.92,0,288.26,2025-08-29
ORD000215,Shopify Payments,264.64,7.97,0,256.67,2026-02-01
ORD000216,Amazon Marketplace,89.56,0,13.43,76.13,2026-06-22
ORD000217,Amazon Marketplace,105.29,0,15.79,89.5,2025-09-03
ORD000218,Shopify Payments,148.84,4.62,0,144.22,2026-05-19
ORD000219,Shopify Payments,223.34,6.78,0,216.56,2026-02-20
ORD000220,Amazon Marketplace,56.29,0,8.44,47.85,2026-06-01
ORD000221,TikTok Payments,252.51,5.05,15.15,232.31,2025-09-19
ORD000222,Shopify Payments,169.27,5.21,0,164.06,2025-09-14
ORD000223,TikTok Payments,25.89,0.52,1.55,23.82,2026-04-14
ORD000224,TikTok Payments,154.65,3.09,9.28,142.28,2026-02-03
ORD000225,TikTok Payments,319.11,6.38,19.15,293.58,2026-03-03
ORD000226,Walmart Marketplace,336.24,0,40.35,295.89,2025-10-13
ORD000228,Walmart Marketplace,188,0,22.56,165.44,2026-03-02
ORD000229,TikTok Payments,269.76,5.4,16.19,248.17,2026-07-05
ORD000230,TikTok Payments,73.98,1.48,4.44,68.06,2026-03-25
ORD000232,Amazon Marketplace,41.16,0,6.17,34.99,2025-10-29
ORD000233,TikTok Payments,347.22,6.94,20.83,319.45,2026-07-27
ORD000234,Amazon Marketplace,82.17,0,12.33,69.84,2026-03-07
ORD000235,Walmart Marketplace,349.82,0,41.98,307.84,2026-05-30
ORD000237,Walmart Marketplace,41.79,0,5.01,36.78,2026-05-04
ORD000238,Walmart Marketplace,184.02,0,22.08,161.94,2025-10-25
ORD000239,TikTok Payments,268.2,5.36,16.09,246.75,2026-05-05
ORD000240,Shopify Payments,196.77,6.01,0,190.76,2025-11-26
ORD000241,Walmart Marketplace,56.14,0,6.74,49.4,2026-01-09
ORD000242,Amazon Marketplace,220.51,0,33.08,187.43,2026-04-25
ORD000243,Shopify Payments,247.16,7.47,0,239.69,2026-04-06
ORD000244,Shopify Payments,114.51,3.62,0,110.89,2025-12-21
ORD000245,Shopify Payments,361.05,10.77,0,350.28,2026-01-14
ORD000246,Shopify Payments,181.51,5.56,0,175.95,2026-07-12
ORD000248,Amazon Marketplace,90.57,0,13.59,76.98,2026-01-31
ORD000249,Shopify Payments,201.58,6.15,0,195.43,2025-09-12
ORD000250,TikTok Payments,44.49,0.89,2.67,40.93,2025-11-07
ORD000251,Walmart Marketplace,427.02,0,51.24,375.78,2025-11-03
ORD000252,Shopify Payments,179.09,5.49,0,173.6,2025-08-22
ORD000253,TikTok Payments,232.27,4.65,13.94,213.68,2025-12-10
ORD000254,Walmart Marketplace,31.61,0,3.79,27.82,2025-08-17
ORD000255,TikTok Payments,164.6,3.29,9.88,151.43,2026-03-17
ORD000256,Shopify Payments,285.56,8.58,0,276.98,2026-02-27
ORD000257,Walmart Marketplace,59.32,0,7.12,52.2,2025-11-06
ORD000258,Shopify Payments,321.02,9.61,0,311.41,2026-03-13
ORD000259,TikTok Payments,126.44,2.53,7.59,116.32,2025-10-25
ORD000260,Shopify Payments,153.18,4.74,0,148.44,2025-07-29
ORD000262,Amazon Marketplace,225.37,0,33.81,191.56,2026-05-10
ORD000263,Walmart Marketplace,190.97,0,22.92,168.05,2026-04-10
ORD000265,Shopify Payments,153.98,4.77,0,149.21,2025-10-23
ORD000266,TikTok Payments,44.49,0.89,2.67,40.93,2025-08-28
ORD000268,TikTok Payments,315.82,6.32,18.95,290.55,2025-08-15
ORD000269,TikTok Payments,273.98,5.48,16.44,252.06,2026-07-01
ORD000270,Shopify Payments,30.19,1.18,0,29.01,2025-12-02
ORD000271,Shopify Payments,199.24,6.08,0,193.16,2025-08-23
ORD000272,Shopify Payments,338.32,10.11,0,328.21,2026-02-13
ORD000275,Shopify Payments,152.24,4.71,0,147.53,2026-04-14
ORD000276,TikTok Payments,351.82,7.04,21.11,323.67,2026-02-06
ORD000277,Shopify Payments,24.53,1.01,0,23.52,2025-10-18
ORD000278,TikTok Payments,224.13,4.48,13.45,206.2,2026-02-27
ORD000280,Shopify Payments,231.16,7,0,224.16,2026-05-04
ORD000281,TikTok Payments,41.79,0.84,2.51,38.44,2026-07-31
ORD000283,TikTok Payments,134.06,2.68,8.04,123.34,2026-03-10
ORD000284,Shopify Payments,218.2,6.63,0,211.57,2026-03-07
ORD000285,Walmart Marketplace,148.68,0,17.84,130.84,2026-02-08
ORD000286,TikTok Payments,343.92,6.88,20.64,316.4,2025-11-03
ORD000287,TikTok Payments,24.58,0.49,1.47,22.62,2026-06-03
ORD000288,Walmart Marketplace,144.95,0,17.39,127.56,2026-02-07
ORD000289,Shopify Payments,277.17,8.34,0,268.83,2026-06-05
ORD000290,Amazon Marketplace,148.59,0,22.29,126.3,2026-01-13
ORD000291,Shopify Payments,211.58,6.44,0,205.14,2025-10-09
ORD000292,TikTok Payments,96.89,1.94,5.81,89.14,2025-09-08
ORD000293,Amazon Marketplace,144.09,0,21.61,122.48,2025-09-14
ORD000294,Amazon Marketplace,212.16,0,31.82,180.34,2026-04-21
ORD000295,Walmart Marketplace,195.25,0,23.43,171.82,2026-01-24
ORD000300,Amazon Marketplace,285.12,0,42.77,242.35,2026-07-10
ORD000301,Walmart Marketplace,195.4,0,23.45,171.95,2026-05-18
ORD000302,TikTok Payments,28.12,0.56,1.69,25.87,2025-08-23
ORD000303,Amazon Marketplace,97.9,0,14.68,83.22,2026-04-27
ORD000304,Amazon Marketplace,162.57,0,24.39,138.18,2026-04-18
ORD000305,Walmart Marketplace,130.45,0,15.65,114.8,2026-04-16
ORD000306,TikTok Payments,176.76,3.54,10.61,162.61,2025-09-10
ORD000309,TikTok Payments,244.09,4.88,14.65,224.56,2026-05-10
ORD000311,Amazon Marketplace,48.95,0,7.34,41.61,2026-06-15
ORD000312,Walmart Marketplace,88.38,0,10.61,77.77,2026-07-08
ORD000313,Amazon Marketplace,230.2,0,34.53,195.67,2025-09-21
ORD000314,Shopify Payments,54.78,1.89,0,52.89,2025-11-01
ORD000315,Walmart Marketplace,258.66,0,31.04,227.62,2025-10-22
ORD000316,Amazon Marketplace,282.4,0,42.36,240.04,2025-10-22
ORD000317,Walmart Marketplace,337.72,0,40.53,297.19,2026-03-04
ORD000318,Amazon Marketplace,128.92,0,19.34,109.58,2026-01-31
ORD000319,TikTok Payments,199.75,4,11.98,183.77,2025-09-26
ORD000322,Walmart Marketplace,36.04,0,4.32,31.72,2025-11-26
ORD000323,Amazon Marketplace,70.46,0,10.57,59.89,2026-02-04
ORD000324,Walmart Marketplace,383.65,0,46.04,337.61,2025-11-14
ORD000325,TikTok Payments,168.54,3.37,10.11,155.06,2026-07-06
ORD000326,Walmart Marketplace,83.01,0,9.96,73.05,2026-08-01
ORD000327,Walmart Marketplace,345.5,0,41.46,304.04,2025-09-07
ORD000328,TikTok Payments,24.58,0.49,1.47,22.62,2026-01-22
ORD000329,Walmart Marketplace,145.44,0,17.45,127.99,2026-06-19
ORD000330,TikTok Payments,242.67,4.85,14.56,223.26,2026-07-01
ORD000333,Walmart Marketplace,113.99,0,13.68,100.31,2025-09-16
ORD000334,TikTok Payments,398.32,7.97,23.9,366.45,2025-08-20
ORD000335,Amazon Marketplace,311.91,0,46.79,265.12,2026-04-19
ORD000336,Amazon Marketplace,27.44,0,4.12,23.32,2026-03-06
ORD000338,TikTok Payments,210.2,4.2,12.61,193.39,2025-08-06
ORD000339,Amazon Marketplace,59.32,0,8.9,50.42,2025-09-15
ORD000340,Walmart Marketplace,39.24,0,4.71,34.53,2026-08-03
ORD000341,Walmart Marketplace,139.56,0,16.75,122.81,2026-05-28
ORD000343,Shopify Payments,20.92,0.91,0,20.01,2025-10-28
ORD000344,Walmart Marketplace,140.26,0,16.83,123.43,2025-10-12
ORD000346,Amazon Marketplace,99.1,0,14.86,84.24,2026-02-13
ORD000347,TikTok Payments,514.48,10.29,30.87,473.32,2026-02-03
ORD000348,Walmart Marketplace,327.82,0,39.34,288.48,2025-10-31
ORD000349,Amazon Marketplace,84.14,0,12.62,71.52,2026-07-09
ORD000350,Walmart Marketplace,125.57,0,15.07,110.5,2026-01-11
ORD000351,Walmart Marketplace,149.26,0,17.91,131.35,2026-07-24
ORD000352,Walmart Marketplace,356.07,0,42.73,313.34,2025-09-01
ORD000354,Walmart Marketplace,242.22,0,29.07,213.15,2026-01-03
ORD000355,Shopify Payments,285.21,8.57,0,276.64,2025-07-29
ORD000356,Shopify Payments,116.7,3.68,0,113.02,2025-12-25
ORD000357,TikTok Payments,96.96,1.94,5.82,89.2,2025-11-12
ORD000358,Walmart Marketplace,15.12,0,1.81,13.31,2026-08-04
ORD000359,Walmart Marketplace,353.49,0,42.42,311.07,2026-06-10
ORD000360,TikTok Payments,203.25,4.07,12.2,186.98,2026-06-02
ORD000361,TikTok Payments,211.86,4.24,12.71,194.91,2026-01-25
ORD000362,Amazon Marketplace,92.52,0,13.88,78.64,2025-11-26
ORD000364,Walmart Marketplace,265.24,0,31.83,233.41,2026-05-05
ORD000365,Amazon Marketplace,419.07,0,62.86,356.21,2026-05-20
ORD000366,TikTok Payments,93.93,1.88,5.64,86.41,2026-06-03
ORD000368,TikTok Payments,241.54,4.83,14.49,222.22,2026-04-17
ORD000370,Walmart Marketplace,77.43,0,9.29,68.14,2026-02-14
ORD000371,TikTok Payments,166.4,3.33,9.98,153.09,2025-09-30
ORD000372,TikTok Payments,169.92,3.4,10.2,156.32,2025-10-14
ORD000373,TikTok Payments,104.77,2.1,6.29,96.38,2025-11-25
ORD000374,Amazon Marketplace,174.3,0,26.14,148.16,2025-11-01
ORD000375,Walmart Marketplace,295.08,0,35.41,259.67,2025-08-30
ORD000376,Amazon Marketplace,227.11,0,34.07,193.04,2026-03-21
ORD000377,Shopify Payments,107.96,3.43,0,104.53,2026-05-10
ORD000378,TikTok Payments,28.42,0.57,1.71,26.14,2026-02-27
ORD000379,TikTok Payments,381.22,7.62,22.87,350.73,2025-08-26
ORD000380,TikTok Payments,127.4,2.55,7.64,117.21,2026-05-18
ORD000381,Shopify Payments,41.16,1.49,0,39.67,2025-11-25
ORD000382,Amazon Marketplace,133.62,0,20.04,113.58,2025-08-31
ORD000385,Walmart Marketplace,208.86,0,25.06,183.8,2026-02-10
ORD000386,Walmart Marketplace,557.76,0,66.93,490.83,2026-02-19
ORD000387,Shopify Payments,189.51,5.8,0,183.71,2026-07-21
ORD000390,TikTok Payments,129.15,2.58,7.75,118.82,2025-10-03
ORD000391,Walmart Marketplace,312.34,0,37.48,274.86,2025-08-30
ORD000392,Amazon Marketplace,27.44,0,4.12,23.32,2026-02-21
ORD000394,Amazon Marketplace,203.03,0,30.45,172.58,2026-07-05
ORD000395,TikTok Payments,125.6,2.51,7.54,115.55,2025-10-14
ORD000396,Shopify Payments,131.5,4.11,0,127.39,2025-08-24
ORD000397,Shopify Payments,55.2,1.9,0,53.3,2026-03-15
ORD000398,Walmart Marketplace,90.57,0,10.87,79.7,2025-09-04
ORD000399,Walmart Marketplace,64.07,0,7.69,56.38,2026-04-27
ORD000400,TikTok Payments,199.68,3.99,11.98,183.71,2026-07-01
ORD000401,TikTok Payments,274.94,5.5,16.5,252.94,2025-10-31
ORD000402,TikTok Payments,218.46,4.37,13.11,200.98,2026-01-06
ORD000403,TikTok Payments,126.44,2.53,7.59,116.32,2025-09-16
ORD000404,Amazon Marketplace,169.92,0,25.49,144.43,2026-08-08
ORD000405,Amazon Marketplace,125.37,0,18.81,106.56,2026-07-20
ORD000406,Shopify Payments,83.01,2.71,0,80.3,2026-03-06
ORD000407,Amazon Marketplace,254,0,38.1,215.9,2025-11-11
ORD000408,Amazon Marketplace,41.84,0,6.28,35.56,2026-03-22
ORD000409,Amazon Marketplace,243.37,0,36.51,206.86,2026-03-27
ORD000410,Walmart Marketplace,81.23,0,9.75,71.48,2025-08-25
ORD000411,Amazon Marketplace,250.17,0,37.53,212.64,2026-04-06
ORD000412,Shopify Payments,27.39,1.09,0,26.3,2025-08-28
ORD000415,Shopify Payments,359.55,10.73,0,348.82,2026-03-11
ORD000416,TikTok Payments,146.55,2.93,8.79,134.83,2026-03-10
ORD000417,Amazon Marketplace,54.78,0,8.22,46.56,2026-02-27
ORD000418,Walmart Marketplace,307.94,0,36.95,270.99,2025-12-08
ORD000419,Walmart Marketplace,317.44,0,38.09,279.35,2026-08-08
ORD000420,TikTok Payments,256.64,5.13,15.4,236.11,2025-11-10
ORD000421,Amazon Marketplace,54.55,0,8.18,46.37,2025-10-26
ORD000422,Walmart Marketplace,339.8,0,40.78,299.02,2026-04-25
ORD000423,Amazon Marketplace,193.15,0,28.97,164.18,2026-05-15
ORD000425,Walmart Marketplace,158.82,0,19.06,139.76,2025-11-09
ORD000426,Amazon Marketplace,28.42,0,4.26,24.16,2025-11-21
ORD000427,TikTok Payments,62.64,1.25,3.76,57.63,2026-01-02
ORD000428,Amazon Marketplace,145.14,0,21.77,123.37,2025-09-29
ORD000429,Shopify Payments,142.43,4.43,0,138,2026-04-14
ORD000430,TikTok Payments,281.54,5.63,16.89,259.02,2026-04-09
ORD000432,Shopify Payments,54.55,1.88,0,52.67,2026-01-20
ORD000433,Shopify Payments,155.1,4.8,0,150.3,2025-11-28
ORD000434,Amazon Marketplace,167.15,0,25.07,142.08,2026-08-04
ORD000435,TikTok Payments,158.1,3.16,9.49,145.45,2026-05-19
ORD000437,TikTok Payments,157.35,3.15,9.44,144.76,2025-08-31
ORD000439,Shopify Payments,166.05,5.12,0,160.93,2026-01-20
ORD000440,Amazon Marketplace,126.21,0,18.93,107.28,2026-04-07
ORD000441,Amazon Marketplace,169.99,0,25.5,144.49,2026-03-15
ORD000442,Amazon Marketplace,109.56,0,16.43,93.13,2025-09-15
ORD000443,TikTok Payments,127.91,2.56,7.67,117.68,2025-08-31
ORD000445,Shopify Payments,193.2,5.9,0,187.3,2025-10-17
ORD000446,Walmart Marketplace,39.16,0,4.7,34.46,2026-02-21
ORD000447,Shopify Payments,22.21,0.94,0,21.27,2025-11-08
ORD000448,Shopify Payments,192.96,5.9,0,187.06,2025-09-18
ORD000449,Shopify Payments,112.78,3.57,0,109.21,2026-07-26
ORD000450,Shopify Payments,88.82,2.88,0,85.94,2025-12-10
ORD000451,Shopify Payments,80.39,2.63,0,77.76,2026-07-04
ORD000452,Shopify Payments,211.4,6.43,0,204.97,2025-08-24
ORD000453,Amazon Marketplace,31.32,0,4.7,26.62,2026-07-15
ORD000454,Shopify Payments,44.49,1.59,0,42.9,2025-10-29
ORD000455,Amazon Marketplace,137.96,0,20.69,117.27,2025-12-30
ORD000456,Shopify Payments,55.94,1.92,0,54.02,2025-11-14
ORD000457,Shopify Payments,126.28,3.96,0,122.32,2025-09-26
ORD000458,Walmart Marketplace,218.17,0,26.18,191.99,2026-01-26
ORD000459,Walmart Marketplace,112.28,0,13.47,98.81,2026-06-27
ORD000460,TikTok Payments,224.89,4.5,13.49,206.9,2026-03-01
ORD000461,TikTok Payments,44.78,0.9,2.69,41.19,2026-05-02
ORD000463,TikTok Payments,292.12,5.84,17.53,268.75,2026-03-26
ORD000465,Walmart Marketplace,102.27,0,12.27,90,2026-04-18
ORD000466,Shopify Payments,243.95,7.37,0,236.58,2026-02-17
ORD000467,TikTok Payments,41.16,0.82,2.47,37.87,2025-08-06
ORD000468,TikTok Payments,283.08,5.66,16.98,260.44,2026-04-18
ORD000469,Shopify Payments,43.02,1.55,0,41.47,2026-06-09
ORD000470,Shopify Payments,109.56,3.48,0,106.08,2026-03-01
