order_id,product_id,qty,line_total
ORD000068,SKU0005,4,172.08
ORD000069,SKU0022,2,77.26
ORD000070,SKU0015,2,27.44
ORD000071,SKU0008,4,167.16
ORD000072,SKU0029,3,85.26
ORD000073,SKU0038,1,35.23
ORD000073,SKU0010,3,29.25
ORD000073,SKU0006,1,31.61
ORD000074,SKU0024,4,168.28
ORD000074,SKU0012,1,25.89
ORD000074,SKU0037,2,92.52
ORD000075,SKU0038,1,35.23
ORD000075,SKU0036,1,30.19
ORD000075,SKU0022,4,154.52
ORD000076,SKU0021,1,12.29
ORD000076,SKU0026,4,89.56
ORD000076,SKU0006,4,126.44
ORD000077,SKU0009,4,88.84
ORD000077,SKU0011,3,143.1
ORD000077,SKU0039,4,224.56
ORD000078,SKU0037,3,138.78
ORD000078,SKU0020,2,55.2
ORD000078,SKU0005,3,129.06
ORD000079,SKU0036,4,120.76
ORD000079,SKU0021,1,12.29
ORD000080,SKU0031,2,96.96
ORD000081,SKU0017,3,197.25
ORD000081,SKU0035,1,48.85
ORD000082,SKU0015,4,54.88
ORD000083,SKU0030,4,198.12
ORD000084,SKU0018,2,49.06
ORD000085,SKU0037,3,138.78
ORD000085,SKU0030,3,148.59
ORD000086,SKU0022,4,154.52
ORD000086,SKU0017,3,197.25
ORD000087,SKU0012,3,77.67
ORD000088,SKU0011,2,95.4
ORD000088,SKU0013,4,41.84
ORD000088,SKU0017,3,197.25
ORD000089,SKU0014,3,149.82
ORD000089,SKU0011,3,143.1
ORD000090,SKU0017,1,65.75
ORD000091,SKU0008,4,167.16
ORD000091,SKU0006,1,31.61
ORD000092,SKU0030,4,198.12
ORD000092,SKU0021,2,24.58
ORD000093,SKU0007,1,27.52
ORD000093,SKU0025,4,59.32
ORD000094,SKU0003,2,58.98
ORD000094,SKU0009,3,66.63
ORD000094,SKU0005,2,86.04
ORD000095,SKU0038,2,70.46
ORD000095,SKU0033,4,109.56
ORD000096,SKU0037,4,185.04
ORD000096,SKU0019,1,15.12
ORD000097,SKU0013,3,31.38
ORD000098,SKU0011,1,47.7
ORD000099,SKU0028,4,169.92
ORD000099,SKU0018,1,24.53
ORD000100,SKU0018,4,98.12
ORD000100,SKU0004,2,39.16
ORD000100,SKU0016,2,35.32
ORD000101,SKU0014,2,99.88
ORD000101,SKU0017,2,131.5
ORD000101,SKU0004,1,19.58
ORD000102,SKU0036,3,90.57
ORD000102,SKU0028,1,42.48
ORD000102,SKU0029,3,85.26
ORD000103,SKU0034,4,176.76
ORD000103,SKU0028,1,42.48
ORD000103,SKU0038,1,35.23
ORD000104,SKU0016,1,17.66
ORD000104,SKU0005,2,86.04
ORD000104,SKU0036,1,30.19
ORD000105,SKU0011,4,190.8
ORD000106,SKU0011,4,190.8
ORD000106,SKU0031,1,48.48
ORD000107,SKU0021,3,36.87
ORD000107,SKU0006,2,63.22
ORD000108,SKU0031,3,145.44
ORD000108,SKU0025,1,14.83
ORD000108,SKU0029,1,28.42
ORD000109,SKU0007,4,110.08
ORD000109,SKU0032,1,35.03
ORD000110,SKU0003,2,58.98
ORD000110,SKU0033,3,82.17
ORD000111,SKU0028,1,42.48
ORD000111,SKU0013,3,31.38
ORD000111,SKU0035,2,97.7
ORD000112,SKU0031,1,48.48
ORD000112,SKU0001,2,33.48
ORD000112,SKU0010,3,29.25
ORD000113,SKU0026,1,22.39
ORD000113,SKU0014,1,49.94
ORD000113,SKU0029,1,28.42
ORD000114,SKU0018,3,73.59
ORD000114,SKU0026,4,89.56
ORD000114,SKU0030,2,99.06
ORD000115,SKU0024,2,84.14
ORD000116,SKU0008,1,41.79
ORD000116,SKU0017,4,263.0
ORD000116,SKU0021,3,36.87
ORD000117,SKU0019,4,60.48
ORD000117,SKU0009,4,88.84
ORD000117,SKU0034,4,176.76
ORD000118,SKU0034,4,176.76
ORD000118,SKU0029,3,85.26
ORD000118,SKU0012,2,51.78
ORD000119,SKU0026,1,22.39
ORD000120,SKU0024,4,168.28
ORD000120,SKU0009,4,88.84
ORD000120,SKU0002,2,109.1
ORD000121,SKU0028,1,42.48
ORD000122,SKU0009,4,88.84
ORD000123,SKU0016,3,52.98
ORD000123,SKU0039,4,224.56
ORD000124,SKU0034,4,176.76
ORD000124,SKU0020,4,110.4
ORD000124,SKU0034,1,44.19
ORD000125,SKU0018,2,49.06
ORD000126,SKU0006,4,126.44
ORD000127,SKU0002,3,163.65
ORD000128,SKU0023,4,110.68
ORD000128,SKU0009,2,44.42
ORD000129,SKU0011,2,95.4
ORD000129,SKU0011,1,47.7
ORD000129,SKU0039,4,224.56
ORD000130,SKU0037,2,92.52
ORD000130,SKU0014,4,199.76
ORD000131,SKU0000,4,125.28
ORD000131,SKU0018,2,49.06
ORD000132,SKU0037,3,138.78
ORD000132,SKU0027,3,149.76
ORD000133,SKU0024,4,168.28
ORD000134,SKU0036,3,90.57
ORD000134,SKU0036,3,90.57
ORD000135,SKU0025,3,44.49
ORD000135,SKU0000,1,31.32
ORD000135,SKU0038,4,140.92
ORD000136,SKU0022,2,77.26
ORD000136,SKU0012,3,77.67
ORD000136,SKU0008,1,41.79
ORD000137,SKU0002,3,163.65
ORD000137,SKU0008,1,41.79
ORD000138,SKU0026,2,44.78
ORD000138,SKU0012,2,51.78
ORD000138,SKU0034,3,132.57
ORD000139,SKU0010,3,29.25
ORD000139,SKU0030,3,148.59
ORD000140,SKU0004,2,39.16
ORD000140,SKU0014,4,199.76
ORD000141,SKU0025,1,14.83
ORD000142,SKU0029,3,85.26
ORD000143,SKU0023,1,27.67
ORD000143,SKU0014,4,199.76
ORD000144,SKU0039,2,112.28
ORD000144,SKU0004,4,78.32
ORD000145,SKU0008,1,41.79
ORD000146,SKU0007,1,27.52
ORD000146,SKU0015,2,27.44
ORD000147,SKU0034,4,176.76
ORD000147,SKU0037,2,92.52
ORD000148,SKU0039,4,224.56
ORD000148,SKU0017,1,65.75
ORD000149,SKU0028,2,84.96
ORD000149,SKU0023,1,27.67
ORD000150,SKU0022,1,38.63
ORD000150,SKU0025,3,44.49
ORD000150,SKU0012,1,25.89
ORD000151,SKU0013,1,10.46
ORD000151,SKU0003,3,88.47
ORD000151,SKU0015,2,27.44
ORD000152,SKU0035,2,97.7
ORD000153,SKU0021,2,24.58
ORD000154,SKU0009,2,44.42
ORD000154,SKU0034,3,132.57
ORD000155,SKU0001,2,33.48
ORD000155,SKU0000,3,93.96
ORD000155,SKU0015,3,41.16
ORD000156,SKU0003,2,58.98
ORD000156,SKU0026,1,22.39
ORD000157,SKU0023,1,27.67
ORD000157,SKU0028,2,84.96
ORD000158,SKU0033,3,82.17
ORD000158,SKU0029,1,28.42
ORD000158,SKU0003,4,117.96
ORD000159,SKU0006,4,126.44
ORD000159,SKU0028,1,42.48
ORD000159,SKU0005,3,129.06
ORD000160,SKU0008,3,125.37
ORD000161,SKU0020,4,110.4
ORD000161,SKU0038,3,105.69
ORD000161,SKU0029,4,113.68
ORD000162,SKU0035,2,97.7
ORD000162,SKU0027,4,199.68
ORD000162,SKU0014,4,199.76
ORD000163,SKU0026,1,22.39
ORD000163,SKU0020,4,110.4
ORD000164,SKU0009,4,88.84
ORD000164,SKU0004,1,19.58
ORD000165,SKU0006,3,94.83
ORD000165,SKU0008,1,41.79
ORD000166,SKU0021,1,12.29
ORD000166,SKU0026,3,67.17
ORD000166,SKU0027,1,49.92
ORD000167,SKU0006,2,63.22
ORD000167,SKU0009,4,88.84
ORD000168,SKU0035,3,146.55
ORD000168,SKU0007,3,82.56
ORD000169,SKU0035,1,48.85
ORD000169,SKU0038,3,105.69
ORD000170,SKU0019,3,45.36
ORD000170,SKU0022,1,38.63
ORD000171,SKU0025,1,14.83
ORD000171,SKU0009,1,22.21
ORD000171,SKU0005,2,86.04
ORD000172,SKU0021,2,24.58
ORD000172,SKU0023,3,83.01
ORD000173,SKU0005,1,43.02
ORD000173,SKU0009,2,44.42
ORD000173,SKU0039,1,56.14
ORD000174,SKU0027,4,199.68
ORD000174,SKU0038,4,140.92
ORD000175,SKU0032,1,35.03
ORD000176,SKU0018,4,98.12
ORD000177,SKU0014,4,199.76
ORD000178,SKU0013,3,31.38
ORD000179,SKU0018,3,73.59
ORD000179,SKU0007,1,27.52
ORD000180,SKU0008,4,167.16
ORD000181,SKU0035,3,146.55
ORD000181,SKU0004,4,78.32
ORD000181,SKU0002,4,218.2
ORD000182,SKU0020,4,110.4
ORD000183,SKU0026,3,67.17
ORD000183,SKU0007,4,110.08
ORD000183,SKU0001,3,50.22
ORD000184,SKU0023,1,27.67
ORD000184,SKU0027,1,49.92
ORD000184,SKU0015,4,54.88
ORD000185,SKU0005,4,172.08
ORD000185,SKU0019,3,45.36
ORD000185,SKU0014,3,149.82
ORD000186,SKU0007,2,55.04
ORD000186,SKU0022,3,115.89
ORD000186,SKU0009,2,44.42
ORD000187,SKU0012,2,51.78
ORD000187,SKU0038,2,70.46
ORD000188,SKU0031,4,193.92
ORD000188,SKU0036,4,120.76
ORD000188,SKU0036,3,90.57
ORD000189,SKU0004,4,78.32
ORD000189,SKU0028,3,127.44
ORD000190,SKU0032,1,35.03
ORD000190,SKU0019,4,60.48
ORD000191,SKU0023,3,83.01
ORD000192,SKU0038,4,140.92
ORD000192,SKU0029,1,28.42
ORD000192,SKU0028,2,84.96
ORD000193,SKU0009,1,22.21
ORD000193,SKU0028,1,42.48
ORD000193,SKU0021,1,12.29
ORD000194,SKU0015,4,54.88
ORD000195,SKU0039,2,112.28
ORD000195,SKU0023,3,83.01
ORD000195,SKU0018,4,98.12
ORD000196,SKU0038,1,35.23
ORD000196,SKU0021,1,12.29
ORD000196,SKU0021,1,12.29
ORD000197,SKU0016,2,35.32
ORD000197,SKU0021,1,12.29
ORD000198,SKU0019,4,60.48
ORD000198,SKU0008,1,41.79
ORD000199,SKU0021,2,24.58
ORD000199,SKU0033,1,27.39
ORD000200,SKU0001,3,50.22
ORD000200,SKU0019,2,30.24
ORD000201,SKU0012,2,51.78
ORD000201,SKU0008,2,83.58
ORD000202,SKU0032,1,35.03
ORD000203,SKU0024,2,84.14
ORD000203,SKU0010,2,19.5
ORD000203,SKU0039,2,112.28
ORD000204,SKU0023,2,55.34
ORD000204,SKU0028,3,127.44
ORD000205,SKU0015,3,41.16
ORD000205,SKU0030,2,99.06
ORD000205,SKU0023,4,110.68
ORD000206,SKU0032,4,140.12
ORD000206,SKU0010,2,19.5
ORD000207,SKU0003,4,117.96
ORD000207,SKU0023,1,27.67
ORD000208,SKU0005,2,86.04
ORD000208,SKU0017,4,263.0
ORD000209,SKU0005,2,86.04
ORD000209,SKU0028,3,127.44
ORD000210,SKU0025,3,44.49
ORD000211,SKU0023,2,55.34
ORD000212,SKU0021,2,24.58
ORD000213,SKU0030,2,99.06
ORD000213,SKU0030,4,198.12
ORD000214,SKU0001,3,50.22
ORD000215,SKU0038,4,140.92
ORD000215,SKU0007,3,82.56
ORD000215,SKU0015,3,41.16
ORD000216,SKU0026,4,89.56
ORD000217,SKU0038,1,35.23
ORD000217,SKU0032,2,70.06
ORD000218,SKU0000,3,93.96
ORD000218,SKU0015,4,54.88
ORD000219,SKU0023,1,27.67
ORD000219,SKU0033,1,27.39
ORD000219,SKU0024,4,168.28
ORD000220,SKU0016,1,17.66
ORD000220,SKU0022,1,38.63
ORD000221,SKU0006,3,94.83
ORD000221,SKU0008,1,41.79
ORD000221,SKU0022,3,115.89
ORD000222,SKU0030,2,99.06
ORD000222,SKU0008,1,41.79
ORD000222,SKU0029,1,28.42
ORD000223,SKU0012,1,25.89
ORD000224,SKU0025,4,59.32
ORD000224,SKU0016,1,17.66
ORD000224,SKU0012,3,77.67
ORD000225,SKU0021,3,36.87
ORD000225,SKU0007,3,82.56
ORD000225,SKU0027,4,199.68
ORD000226,SKU0011,4,190.8
ORD000226,SKU0031,3,145.44
ORD000227,SKU0027,1,49.92
ORD000228,SKU0018,3,73.59
ORD000228,SKU0006,1,31.61
ORD000228,SKU0020,3,82.8
ORD000229,SKU0027,2,99.84
ORD000229,SKU0028,3,127.44
ORD000229,SKU0028,1,42.48
ORD000230,SKU0003,1,29.49
ORD000230,SKU0025,3,44.49
ORD000231,SKU0009,4,88.84
ORD000232,SKU0015,3,41.16
ORD000233,SKU0002,2,109.1
ORD000233,SKU0028,3,127.44
ORD000233,SKU0023,4,110.68
ORD000234,SKU0033,3,82.17
ORD000235,SKU0017,2,131.5
ORD000235,SKU0007,1,27.52
ORD000235,SKU0011,4,190.8
ORD000236,SKU0007,3,82.56
ORD000236,SKU0016,4,70.64
ORD000236,SKU0013,3,31.38
ORD000237,SKU0008,1,41.79
ORD000238,SKU0028,1,42.48
ORD000238,SKU0020,3,82.8
ORD000238,SKU0004,3,58.74
ORD000239,SKU0011,3,143.1
ORD000239,SKU0032,2,70.06
ORD000239,SKU0007,2,55.04
ORD000240,SKU0001,3,50.22
ORD000240,SKU0035,3,146.55
ORD000241,SKU0039,1,56.14
ORD000242,SKU0030,4,198.12
ORD000242,SKU0026,1,22.39
ORD000243,SKU0004,4,78.32
ORD000243,SKU0029,3,85.26
ORD000243,SKU0008,2,83.58
ORD000244,SKU0003,1,29.49
ORD000244,SKU0033,2,54.78
ORD000244,SKU0019,2,30.24
ORD000245,SKU0014,3,149.82
ORD000245,SKU0033,3,82.17
ORD000245,SKU0005,3,129.06
ORD000246,SKU0008,3,125.37
ORD000246,SKU0039,1,56.14
ORD000247,SKU0037,2,92.52
ORD000247,SKU0010,3,29.25
ORD000247,SKU0036,1,30.19
ORD000248,SKU0036,3,90.57
ORD000249,SKU0039,1,56.14
ORD000249,SKU0031,3,145.44
ORD000250,SKU0025,3,44.49
ORD000251,SKU0003,2,58.98
ORD000251,SKU0028,4,169.92
ORD000251,SKU0030,4,198.12
ORD000252,SKU0009,3,66.63
ORD000252,SKU0020,3,82.8
ORD000252,SKU0025,2,29.66
ORD000253,SKU0006,3,94.83
ORD000253,SKU0015,4,54.88
ORD000253,SKU0007,3,82.56
ORD000254,SKU0006,1,31.61
ORD000255,SKU0026,2,44.78
ORD000255,SKU0010,3,29.25
ORD000255,SKU0036,3,90.57
ORD000256,SKU0032,4,140.12
ORD000256,SKU0031,3,145.44
ORD000257,SKU0025,4,59.32
ORD000258,SKU0022,1,38.63
ORD000258,SKU0003,3,88.47
ORD000258,SKU0031,4,193.92
ORD000259,SKU0006,4,126.44
ORD000260,SKU0023,4,110.68
ORD000260,SKU0023,1,27.67
ORD000260,SKU0025,1,14.83
ORD000261,SKU0023,3,83.01
ORD000262,SKU0028,3,127.44
ORD000262,SKU0039,1,56.14
ORD000262,SKU0008,1,41.79
ORD000263,SKU0035,3,146.55
ORD000263,SKU0009,2,44.42
ORD000264,SKU0032,1,35.03
ORD000264,SKU0002,1,54.55
ORD000265,SKU0033,4,109.56
ORD000265,SKU0009,2,44.42
ORD000266,SKU0025,3,44.49
ORD000267,SKU0032,4,140.12
ORD000267,SKU0036,3,90.57
ORD000267,SKU0030,1,49.53
ORD000268,SKU0007,4,110.08
ORD000268,SKU0037,3,138.78
ORD000268,SKU0001,4,66.96
ORD000269,SKU0014,1,49.94
ORD000269,SKU0037,4,185.04
ORD000269,SKU0010,4,39.0
ORD000270,SKU0036,1,30.19
ORD000271,SKU0020,4,110.4
ORD000271,SKU0009,4,88.84
ORD000272,SKU0039,4,224.56
ORD000272,SKU0003,2,58.98
ORD000272,SKU0033,2,54.78
ORD000273,SKU0030,4,198.12
ORD000273,SKU0020,2,55.2
ORD000273,SKU0029,3,85.26
ORD000274,SKU0016,4,70.64
ORD000274,SKU0012,2,51.78
ORD000274,SKU0017,3,197.25
ORD000275,SKU0013,4,41.84
ORD000275,SKU0020,4,110.4
ORD000276,SKU0017,3,197.25
ORD000276,SKU0007,4,110.08
ORD000276,SKU0025,3,44.49
ORD000277,SKU0018,1,24.53
ORD000278,SKU0016,4,70.64
ORD000278,SKU0013,2,20.92
ORD000278,SKU0034,3,132.57
ORD000279,SKU0006,2,63.22
ORD000280,SKU0033,2,54.78
ORD000280,SKU0014,1,49.94
ORD000280,SKU0006,4,126.44
ORD000281,SKU0008,1,41.79
ORD000282,SKU0030,4,198.12
ORD000282,SKU0012,3,77.67
ORD000283,SKU0003,1,29.49
ORD000283,SKU0036,2,60.38
ORD000283,SKU0034,1,44.19
ORD000284,SKU0002,4,218.2
ORD000285,SKU0018,1,24.53
ORD000285,SKU0000,3,93.96
ORD000285,SKU0036,1,30.19
ORD000286,SKU0034,4,176.76
ORD000286,SKU0008,4,167.16
ORD000287,SKU0021,2,24.58
ORD000288,SKU0011,1,47.7
ORD000288,SKU0021,3,36.87
ORD000288,SKU0036,2,60.38
ORD000289,SKU0032,3,105.09
ORD000289,SKU0005,4,172.08
ORD000290,SKU0030,3,148.59
ORD000291,SKU0024,2,84.14
ORD000291,SKU0028,3,127.44
ORD000292,SKU0036,1,30.19
ORD000292,SKU0016,3,52.98
ORD000292,SKU0015,1,13.72
ORD000293,SKU0010,4,39.0
ORD000293,SKU0032,3,105.09
ORD000294,SKU0039,2,112.28
ORD000294,SKU0014,2,99.88
ORD000295,SKU0038,3,105.69
ORD000295,SKU0026,4,89.56
ORD000296,SKU0038,1,35.23
ORD000297,SKU0023,1,27.67
ORD000297,SKU0036,1,30.19
ORD000297,SKU0003,2,58.98
ORD000298,SKU0010,3,29.25
ORD000299,SKU0013,4,41.84
ORD000300,SKU0003,4,117.96
ORD000300,SKU0008,4,167.16
ORD000301,SKU0035,4,195.4
ORD000302,SKU0016,1,17.66
ORD000302,SKU0013,1,10.46
ORD000303,SKU0004,1,19.58
ORD000303,SKU0004,4,78.32
ORD000304,SKU0011,2,95.4
ORD000304,SKU0026,3,67.17
ORD000305,SKU0024,1,42.07
ORD000305,SKU0034,2,88.38
ORD000306,SKU0034,4,176.76
ORD000307,SKU0014,1,49.94
ORD000307,SKU0001,3,50.22
ORD000307,SKU0029,4,113.68
ORD000308,SKU0015,4,54.88
ORD000309,SKU0012,1,25.89
ORD000309,SKU0002,4,218.2
ORD000310,SKU0013,1,10.46
ORD000311,SKU0038,1,35.23
ORD000311,SKU0015,1,13.72
ORD000312,SKU0034,2,88.38
ORD000313,SKU0018,2,49.06
ORD000313,SKU0036,3,90.57
ORD000313,SKU0036,3,90.57
ORD000314,SKU0033,2,54.78
ORD000315,SKU0003,2,58.98
ORD000315,SKU0027,4,199.68
ORD000316,SKU0024,3,126.21
ORD000316,SKU0026,4,89.56
ORD000316,SKU0009,3,66.63
ORD000317,SKU0030,2,99.06
ORD000317,SKU0014,3,149.82
ORD000317,SKU0009,4,88.84
ORD000318,SKU0026,2,44.78
ORD000318,SKU0024,2,84.14
ORD000319,SKU0005,4,172.08
ORD000319,SKU0023,1,27.67
ORD000320,SKU0017,4,263.0
ORD000321,SKU0012,2,51.78
ORD000322,SKU0019,1,15.12
ORD000322,SKU0013,2,20.92
ORD000323,SKU0038,2,70.46
ORD000324,SKU0020,3,82.8
ORD000324,SKU0024,4,168.28
ORD000324,SKU0034,3,132.57
ORD000325,SKU0032,4,140.12
ORD000325,SKU0029,1,28.42
ORD000326,SKU0023,3,83.01
ORD000327,SKU0014,2,99.88
ORD000327,SKU0001,3,50.22
ORD000327,SKU0035,4,195.4
ORD000328,SKU0021,2,24.58
ORD000329,SKU0031,3,145.44
ORD000330,SKU0031,4,193.92
ORD000330,SKU0010,3,29.25
ORD000330,SKU0010,2,19.5
ORD000331,SKU0034,1,44.19
ORD000332,SKU0003,1,29.49
ORD000333,SKU0014,1,49.94
ORD000333,SKU0009,1,22.21
ORD000333,SKU0013,4,41.84
ORD000334,SKU0039,4,224.56
ORD000334,SKU0031,1,48.48
ORD000334,SKU0000,4,125.28
ORD000335,SKU0017,3,197.25
ORD000335,SKU0001,4,66.96
ORD000335,SKU0011,1,47.7
ORD000336,SKU0015,2,27.44
ORD000337,SKU0022,3,115.89
ORD000337,SKU0025,1,14.83
ORD000338,SKU0036,2,60.38
ORD000338,SKU0014,3,149.82
ORD000339,SKU0025,4,59.32
ORD000340,SKU0003,1,29.49
ORD000340,SKU0010,1,9.75
ORD000341,SKU0021,1,12.29
ORD000341,SKU0033,1,27.39
ORD000341,SKU0014,2,99.88
ORD000342,SKU0002,1,54.55
ORD000342,SKU0017,1,65.75
ORD000343,SKU0013,2,20.92
ORD000344,SKU0010,2,19.5
ORD000344,SKU0036,4,120.76
ORD000345,SKU0008,1,41.79
ORD000345,SKU0032,3,105.09
ORD000346,SKU0014,1,49.94
ORD000346,SKU0021,4,49.16
ORD000347,SKU0017,4,263.0
ORD000347,SKU0031,2,96.96
ORD000347,SKU0022,4,154.52
ORD000348,SKU0037,4,185.04
ORD000348,SKU0005,3,129.06
ORD000348,SKU0015,1,13.72
ORD000349,SKU0024,2,84.14
ORD000350,SKU0006,1,31.61
ORD000350,SKU0000,3,93.96
ORD000351,SKU0006,2,63.22
ORD000351,SKU0005,2,86.04
ORD000352,SKU0035,4,195.4
ORD000352,SKU0006,1,31.61
ORD000352,SKU0005,3,129.06
ORD000353,SKU0038,3,105.69
ORD000353,SKU0024,1,42.07
ORD000353,SKU0018,4,98.12
ORD000354,SKU0035,2,97.7
ORD000354,SKU0036,2,60.38
ORD000354,SKU0024,2,84.14
ORD000355,SKU0017,4,263.0
ORD000355,SKU0009,1,22.21
ORD000356,SKU0026,3,67.17
ORD000356,SKU0030,1,49.53
ORD000357,SKU0031,2,96.96
ORD000358,SKU0019,1,15.12
ORD000359,SKU0024,3,126.21
ORD000359,SKU0028,3,127.44
ORD000359,SKU0027,2,99.84
ORD000360,SKU0012,4,103.56
ORD000360,SKU0020,2,55.2
ORD000360,SKU0025,3,44.49
ORD000361,SKU0015,3,41.16
ORD000361,SKU0024,3,126.21
ORD000361,SKU0025,3,44.49
ORD000362,SKU0037,2,92.52
ORD000363,SKU0029,2,56.84
ORD000363,SKU0028,3,127.44
ORD000363,SKU0004,4,78.32
ORD000364,SKU0019,2,30.24
ORD000364,SKU0016,2,35.32
ORD000364,SKU0027,4,199.68
ORD000365,SKU0030,4,198.12
ORD000365,SKU0034,4,176.76
ORD000365,SKU0034,1,44.19
ORD000366,SKU0005,1,43.02
ORD000366,SKU0015,3,41.16
ORD000366,SKU0010,1,9.75
ORD000367,SKU0027,1,49.92
ORD000367,SKU0000,1,31.32
ORD000368,SKU0033,2,54.78
ORD000368,SKU0028,3,127.44
ORD000368,SKU0025,4,59.32
ORD000369,SKU0022,1,38.63
ORD000370,SKU0026,1,22.39
ORD000370,SKU0007,2,55.04
ORD000371,SKU0029,2,56.84
ORD000371,SKU0033,4,109.56
ORD000372,SKU0028,4,169.92
ORD000373,SKU0002,1,54.55
ORD000373,SKU0001,3,50.22
ORD000374,SKU0015,2,27.44
ORD000374,SKU0035,2,97.7
ORD000374,SKU0021,4,49.16
ORD000375,SKU0011,2,95.4
ORD000375,SKU0027,4,199.68
ORD000376,SKU0037,4,185.04
ORD000376,SKU0024,1,42.07
