order_id,creator_id,attributed_gmv,commission_rate,commission_usd,refunded
ORD000378,CR003,28.42,0.13,3.69,false
ORD000380,CR003,127.4,0.13,16.56,false
ORD000390,CR003,129.15,0.13,16.79,false
ORD000395,CR028,125.6,0.12,15.07,false
ORD000401,CR011,274.94,0.12,32.99,false
ORD000420,CR020,256.64,0.12,30.8,false
ORD000430,CR004,281.54,0.08,22.52,false
ORD000435,CR036,158.1,0.09,14.23,false
ORD000460,CR009,224.89,0.15000000000000002,33.73,false
ORD000463,CR004,292.12,0.08,23.37,false
ORD000468,CR009,283.08,0.15000000000000002,42.46,false
ORD000487,CR013,67.17,0.11,7.39,false
ORD000492,CR003,317.52,0.13,41.28,false
ORD000508,CR007,308.36,0.11,33.92,false
ORD000510,CR002,167.79,0.14,23.49,false
ORD000515,CR009,167.64,0.15000000000000002,25.15,false
ORD000518,CR014,119.36,0.15000000000000002,17.9,false
ORD000523,CR031,255.99,0.1,25.6,false
ORD000525,CR001,230.11,0.08,18.41,true
ORD000527,CR012,44.03,0.09,3.96,false
ORD000549,CR004,195.4,0.08,15.63,false
ORD000555,CR014,297.48,0.15000000000000002,44.62,false
ORD000556,CR001,59.32,0.08,4.75,false
ORD000578,CR004,150.75,0.08,12.06,true
ORD000605,CR001,60.38,0.08,4.83,false
ORD000606,CR018,319.68,0.09,28.77,false
ORD000613,CR007,89.56,0.11,9.85,false
ORD000631,CR011,285.77,0.12,34.29,false
ORD000669,CR030,62.71,0.13,8.15,false
ORD000670,CR002,109.99,0.14,15.4,false
ORD000683,CR007,145.34,0.11,15.99,false
ORD000695,CR021,356.97,0.11,39.27,false
ORD000719,CR009,176.76,0.15000000000000002,26.51,false
ORD000725,CR009,65.75,0.15000000000000002,9.86,false
ORD000759,CR002,260.32,0.14,36.44,false
ORD000779,CR006,105.09,0.14,14.71,false
ORD000798,CR004,211.48,0.08,16.92,false
ORD000804,CR005,258.72,0.1,25.87,false
ORD000810,CR012,126.44,0.09,11.38,false
ORD000814,CR009,65.24,0.15000000000000002,9.79,false
ORD000816,CR001,445.14,0.08,35.61,false
ORD000821,CR016,125.59,0.11,13.81,false
ORD000822,CR016,406.28,0.11,44.69,false
ORD000835,CR031,237.38,0.1,23.74,false
ORD000836,CR003,56.14,0.13,7.3,false
ORD000838,CR002,9.75,0.14,1.37,false
ORD000839,CR008,133.8,0.14,18.73,false
ORD000877,CR005,55.04,0.1,5.5,false
ORD000886,CR017,241.88,0.08,19.35,false
ORD000899,CR004,219.47,0.08,17.56,true
ORD000904,CR001,84.96,0.08,6.8,false
ORD000925,CR001,148.41,0.08,11.87,false
ORD000932,CR003,71.98,0.13,9.36,false
ORD000944,CR004,241.34,0.08,19.31,false
ORD000952,CR007,29.25,0.11,3.22,false
ORD000954,CR011,326.53,0.12,39.18,true
ORD000966,CR033,106.44,0.11,11.71,false
ORD000970,CR008,149.76,0.14,20.97,false
ORD000984,CR002,112.22,0.14,15.71,false
ORD000986,CR019,160.24,0.13,20.83,false
ORD001023,CR003,16.74,0.13,2.18,false
ORD001029,CR020,280.69,0.12,33.68,false
ORD001030,CR001,48.48,0.08,3.88,false
ORD001051,CR003,163.1,0.13,21.2,false
ORD001056,CR016,30.24,0.11,3.33,false
ORD001061,CR011,55.04,0.12,6.6,false
ORD001078,CR031,331.34,0.1,33.13,false
ORD001080,CR002,145.44,0.14,20.36,false
ORD001081,CR002,135.15,0.14,18.92,false
ORD001097,CR002,60.48,0.14,8.47,false
ORD001102,CR014,202.32,0.15000000000000002,30.35,false
ORD001129,CR004,48.85,0.08,3.91,false
ORD001150,CR007,137.6,0.11,15.14,false
ORD001151,CR034,242.38,0.15000000000000002,36.36,false
ORD001183,CR016,112.54,0.11,12.38,false
ORD001210,CR009,31.61,0.15000000000000002,4.74,false
ORD001213,CR017,174.69,0.08,13.98,true
ORD001224,CR002,29.66,0.14,4.15,false
ORD001228,CR003,35.32,0.13,4.59,false
ORD001234,CR003,341.51,0.13,44.4,false
ORD001242,CR005,208.78,0.1,20.88,false
ORD001244,CR020,118.44,0.12,14.21,true
ORD001245,CR031,164.09,0.1,16.41,true
ORD001246,CR003,27.52,0.13,3.58,false
ORD001247,CR001,208.32,0.08,16.67,false
ORD001249,CR003,113.89,0.13,14.81,false
ORD001258,CR031,24.87,0.1,2.49,false
ORD001261,CR026,24.53,0.08,1.96,false
ORD001271,CR024,233.08,0.13,30.3,false
ORD001275,CR013,14.83,0.11,1.63,false
ORD001281,CR008,87.72,0.14,12.28,true
ORD001287,CR007,278.46,0.11,30.63,false
ORD001297,CR001,135.92,0.08,10.87,false
ORD001306,CR008,477.02,0.14,66.78,false
ORD001314,CR005,138.69,0.1,13.87,false
ORD001332,CR009,137.35,0.15000000000000002,20.6,false
ORD001343,CR022,302.44,0.12,36.29,false
ORD001345,CR004,285.82,0.08,22.87,false
ORD001348,CR001,339.46,0.08,27.16,false
ORD001350,CR011,256.6,0.12,30.79,false
ORD001353,CR001,24.58,0.08,1.97,false
ORD001358,CR001,238.48,0.08,19.08,false
ORD001364,CR009,418.75,0.15000000000000002,62.81,false
ORD001365,CR015,27.52,0.15000000000000002,4.13,false
ORD001376,CR007,102.07,0.11,11.23,false
ORD001380,CR028,138.06,0.12,16.57,false
ORD001399,CR007,322.45,0.11,35.47,false
ORD001400,CR011,87.31,0.12,10.48,false
ORD001404,CR007,165.07,0.11,18.16,false
ORD001411,CR011,103.56,0.12,12.43,false
ORD001420,CR006,49.92,0.14,6.99,false
ORD001424,CR003,120.08,0.13,15.61,false
ORD001445,CR004,142.95,0.08,11.44,false
ORD001447,CR002,185.04,0.14,25.91,false
ORD001463,CR016,168.42,0.11,18.53,false
ORD001466,CR030,163.1,0.13,21.2,false
ORD001482,CR001,29.49,0.08,2.36,false
ORD001490,CR005,72.31,0.1,7.23,false
ORD001519,CR002,248.82,0.14,34.83,false
ORD001525,CR002,45.36,0.14,6.35,false
ORD001543,CR011,149.82,0.12,17.98,false
ORD001564,CR007,159.78,0.11,17.58,false
ORD001573,CR003,161.38,0.13,20.98,false
ORD001583,CR030,108.16,0.13,14.06,false
ORD001592,CR001,88.84,0.08,7.11,false
ORD001598,CR005,223.97,0.1,22.4,false
ORD001610,CR003,391.11,0.13,50.84,false
ORD001612,CR003,163.65,0.13,21.27,false
ORD001617,CR003,127.1,0.13,16.52,false
ORD001625,CR002,422.72,0.14,59.18,false
ORD001631,CR011,46.26,0.12,5.55,false
ORD001641,CR002,155.75,0.14,21.81,false
ORD001646,CR003,130.43,0.13,16.96,false
ORD001647,CR007,254.09,0.11,27.95,false
ORD001681,CR003,410.69,0.13,53.39,false
ORD001682,CR009,83.58,0.15000000000000002,12.54,false
ORD001683,CR002,82.56,0.14,11.56,false
ORD001691,CR021,188.76,0.11,20.76,true
ORD001693,CR004,132.57,0.08,10.61,false
ORD001694,CR007,246.66,0.11,27.13,false
ORD001695,CR002,45.36,0.14,6.35,false
ORD001705,CR016,172.15,0.11,18.94,false
ORD001717,CR003,117.08,0.13,15.22,false
ORD001727,CR008,77.41,0.14,10.84,false
ORD001730,CR021,257.94,0.11,28.37,false
ORD001755,CR016,39,0.11,4.29,false
ORD001771,CR002,188.23,0.14,26.35,false
ORD001787,CR002,351.17,0.14,49.16,false
ORD001795,CR003,110.68,0.13,14.39,false
ORD001799,CR002,455.73,0.14,63.8,false
ORD001804,CR007,115.96,0.11,12.76,false
ORD001806,CR002,42.48,0.14,5.95,false
ORD001807,CR013,233.18,0.11,25.65,false
ORD001815,CR002,164.27,0.14,23,false
ORD001818,CR018,72.7,0.09,6.54,true
ORD001824,CR002,153.59,0.14,21.5,false
ORD001827,CR003,60.38,0.13,7.85,false
ORD001838,CR012,331.6,0.09,29.84,false
ORD001850,CR006,157.1,0.14,21.99,false
ORD001852,CR031,328.2,0.1,32.82,false
ORD001859,CR007,166.24,0.11,18.29,false
ORD001866,CR003,185.8,0.13,24.15,false
ORD001875,CR007,434.71,0.11,47.82,false
ORD001877,CR025,265.14,0.09,23.86,false
ORD001893,CR008,218.01,0.14,30.52,false
ORD001915,CR021,280.89,0.11,30.9,false
ORD001918,CR005,50.47,0.1,5.05,false
ORD001931,CR002,237.52,0.14,33.25,false
ORD001935,CR005,331.08,0.1,33.11,false
ORD001940,CR001,49.77,0.08,3.98,false
ORD001987,CR020,300.19,0.12,36.02,false
ORD001995,CR011,283.64,0.12,34.04,false
ORD002007,CR007,263,0.11,28.93,false
ORD002010,CR031,202.79,0.1,20.28,false
ORD002012,CR020,84.59,0.12,10.15,false
ORD002016,CR008,108.6,0.14,15.2,false
ORD002017,CR020,55.2,0.12,6.62,false
ORD002019,CR011,127.32,0.12,15.28,false
ORD002023,CR002,138.14,0.14,19.34,false
ORD002026,CR008,85.26,0.14,11.94,false
ORD002037,CR003,341.34,0.13,44.37,false
ORD002039,CR013,82.17,0.11,9.04,false
ORD002068,CR012,61.27,0.09,5.51,false
ORD002080,CR005,22.21,0.1,2.22,false
ORD002083,CR005,223.3,0.1,22.33,false
ORD002084,CR011,221.41,0.12,26.57,false
ORD002086,CR001,248.44,0.08,19.88,false
ORD002094,CR011,51.78,0.12,6.21,false
ORD002095,CR009,168.28,0.15000000000000002,25.24,false
ORD002108,CR001,164.53,0.08,13.16,false
ORD002110,CR001,207.88,0.08,16.63,false
ORD002113,CR003,313.41,0.13,40.74,false
ORD002128,CR001,139.68,0.08,11.17,false
ORD002129,CR003,44.49,0.13,5.78,false
ORD002133,CR024,236.2,0.13,30.71,false
ORD002134,CR007,290.88,0.11,32,false
ORD002157,CR018,66.63,0.09,6,false
ORD002160,CR003,188.82,0.13,24.55,false
ORD002161,CR025,230.58,0.09,20.75,false
ORD002164,CR001,232.38,0.08,18.59,false
ORD002217,CR007,327.73,0.11,36.05,false
ORD002224,CR008,227.28,0.14,31.82,false
ORD002234,CR017,159.75,0.08,12.78,true
ORD002235,CR006,75.8,0.14,10.61,false
ORD002245,CR001,229.92,0.08,18.39,false
ORD002248,CR003,180.3,0.13,23.44,true
ORD002251,CR003,194.6,0.13,25.3,false
ORD002254,CR003,226.72,0.13,29.47,false
ORD002272,CR004,225.08,0.08,18.01,false
ORD002273,CR011,138.24,0.12,16.59,false
ORD002274,CR007,180.56,0.11,19.86,false
ORD002278,CR028,197.25,0.12,23.67,false
ORD002279,CR013,19.5,0.11,2.15,false
ORD002283,CR002,67.17,0.14,9.4,false
ORD002293,CR001,498.88,0.08,39.91,false
ORD002296,CR002,243.44,0.14,34.08,false
ORD002297,CR009,33.48,0.15000000000000002,5.02,false
ORD002300,CR011,169.02,0.12,20.28,false
ORD002302,CR014,154.52,0.15000000000000002,23.18,false
ORD002304,CR011,214.95,0.12,25.79,false
ORD002311,CR001,54.55,0.08,4.36,false
ORD002312,CR001,103.56,0.08,8.28,false
ORD002315,CR022,199.76,0.12,23.97,false
ORD002331,CR007,193.09,0.11,21.24,false
ORD002338,CR003,56.84,0.13,7.39,true
ORD002341,CR002,337.12,0.14,47.2,false
ORD002345,CR036,188.48,0.09,16.96,false
ORD002353,CR001,162.08,0.08,12.97,false
ORD002372,CR002,218.2,0.14,30.55,false
ORD002374,CR018,41.79,0.09,3.76,false
ORD002378,CR001,137.06,0.08,10.96,false
ORD002379,CR006,90.33,0.14,12.65,false
ORD002381,CR009,52.98,0.15000000000000002,7.95,false
ORD002384,CR016,402.05,0.11,44.23,false
ORD002394,CR011,323.82,0.12,38.86,false
ORD002395,CR001,212.04,0.08,16.96,false
ORD002406,CR032,181.42,0.13,23.58,false
ORD002408,CR007,475.55,0.11,52.31,false
ORD002411,CR009,177,0.15000000000000002,26.55,true
ORD002431,CR007,84.96,0.11,9.35,false
ORD002438,CR002,103.94,0.14,14.55,false
ORD002444,CR007,279.74,0.11,30.77,false
ORD002448,CR002,31.32,0.14,4.38,false
ORD002457,CR003,136.95,0.13,17.8,false
ORD002459,CR001,239.47,0.08,19.16,false
ORD002464,CR012,342.54,0.09,30.83,false
ORD002468,CR013,55.82,0.11,6.14,false
ORD002473,CR016,132.67,0.11,14.59,false
ORD002475,CR020,115.91,0.12,13.91,false
ORD002496,CR008,102.19,0.14,14.31,false
ORD002499,CR002,119.98,0.14,16.8,false
ORD002511,CR006,37.22,0.14,5.21,false
ORD002521,CR007,288.29,0.11,31.71,false
ORD002530,CR008,193.92,0.14,27.15,true
ORD002534,CR007,121.33,0.11,13.35,true
ORD002548,CR007,223.17,0.11,24.55,false
ORD002561,CR028,410.54,0.12,49.26,false
ORD002576,CR001,276.4,0.08,22.11,false
ORD002596,CR028,278.94,0.12,33.47,false
ORD002601,CR032,54.78,0.13,7.12,false
ORD002605,CR008,117.47,0.14,16.45,false
ORD002643,CR013,175.29,0.11,19.28,false
ORD002645,CR007,132.52,0.11,14.58,false
ORD002651,CR013,229.01,0.11,25.19,false
ORD002680,CR007,124.1,0.11,13.65,false
ORD002684,CR011,176.03,0.12,21.12,false
ORD002692,CR002,270.92,0.14,37.93,false
ORD002696,CR013,86.04,0.11,9.46,false
ORD002701,CR011,402.47,0.12,48.3,false
ORD002716,CR007,114.62,0.11,12.61,false
ORD002718,CR009,217.41,0.15000000000000002,32.61,false
ORD002738,CR011,126.44,0.12,15.17,false
ORD002739,CR007,29.49,0.11,3.24,false
ORD002744,CR007,83.01,0.11,9.13,false
ORD002753,CR001,30.24,0.08,2.42,false
ORD002756,CR008,19.58,0.14,2.74,true
ORD002762,CR014,84.14,0.15000000000000002,12.62,false
ORD002767,CR001,129.62,0.08,10.37,false
ORD002773,CR011,54.55,0.12,6.55,false
ORD002782,CR011,66.6,0.12,7.99,true
ORD002785,CR001,108.04,0.08,8.64,false
ORD002787,CR007,239.81,0.11,26.38,false
ORD002814,CR021,174.69,0.11,19.22,false
ORD002816,CR030,84.87,0.13,11.03,false
ORD002821,CR007,22.39,0.11,2.46,false
ORD002833,CR007,279.1,0.11,30.7,false
ORD002838,CR002,204.43,0.14,28.62,false
ORD002844,CR011,178.22,0.12,21.39,false
ORD002847,CR002,46.26,0.14,6.48,false
ORD002851,CR034,132.89,0.15000000000000002,19.93,false
ORD002858,CR004,29.25,0.08,2.34,true
ORD002864,CR028,176.76,0.12,21.21,false
ORD002868,CR001,86.04,0.08,6.88,false
ORD002873,CR010,48.85,0.15000000000000002,7.33,false
ORD002899,CR001,388.2,0.08,31.06,false
ORD002901,CR001,45.36,0.08,3.63,false
ORD002907,CR003,35.03,0.13,4.55,false
ORD002916,CR007,219.24,0.11,24.12,false
ORD002918,CR002,107.31,0.14,15.02,false
ORD002920,CR033,276.46,0.11,30.41,false
ORD002924,CR007,180.38,0.11,19.84,false
ORD002928,CR004,83.01,0.08,6.64,false
ORD002950,CR007,97.7,0.11,10.75,false
ORD002965,CR014,137.5,0.15000000000000002,20.63,false
ORD002968,CR003,88.07,0.13,11.45,false
ORD002978,CR012,164.28,0.09,14.79,false
ORD002984,CR001,225.96,0.08,18.08,false
